t_ms,node,yaw,hi,sdf0,sdf90,sdf180,sdf270,best_deg
466765601,chair_1,0,460,0.261243,0.178934,0.263083,0.377365,90
466765701,chair_1,1.58033,384,0.322908,0.460184,0.465437,0.329162,0
466765801,chair_1,1.58033,300,0.164606,0.240747,0.373812,0.274891,0
466765901,chair_1,1.58033,260,0.227861,0.347762,0.400273,0.267187,0
466766002,chair_1,1.58033,254,0.110043,0.142055,0.348637,0.311126,0
466766101,chair_1,1.58033,240,0.223559,0.340595,0.403672,0.266843,0
466766203,chair_1,1.58033,242,0.25752,0.389302,0.421798,0.280262,0
466766305,chair_1,1.58033,180,0.193559,0.287178,0.383813,0.26024,0
466766405,chair_1,1.58033,169,0.339785,0.473569,0.476701,0.340784,0
466766506,chair_1,1.57936,128,0.161099,0.234432,0.369509,0.269733,0
466766606,chair_1,1.57936,133,0.107565,0.119243,0.346541,0.333899,0
466766707,chair_1,1.57936,106,0.153986,0.230977,0.364784,0.265555,0
466766808,chair_1,1.57612,45,0.523986,0.60515,0.666879,0.551743,0
466766905,chair_1,1.57612,34,0.330953,0.338156,0.545788,0.526642,0
466767003,chair_1,1.57612,36,0.182303,0.273442,0.409164,0.267724,0
466767104,chair_1,1.57612,32,0.142938,0.24188,0.404838,0.236256,0
466767202,chair_1,1.57612,29,0.239033,0.40523,0.443851,0.2519,0
466767303,chair_1,1.57612,45,0.154631,0.23084,0.403069,0.272681,0
466767403,chair_1,1.57612,33,0.284399,0.446752,0.464167,0.286737,0
466767504,chair_1,1.57405,33,0.181448,0.27437,0.414781,0.257839,0
466767604,chair_1,1.57405,29,0.242866,0.41492,0.449539,0.249442,0
466767704,chair_1,1.57405,28,0.163341,0.269667,0.412641,0.237072,0
466767805,chair_1,1.60115,29,0.24716,0.433016,0.451729,0.249003,0
466767906,chair_1,1.60115,33,0.109276,0.167228,0.392858,0.286462,0
466768002,chair_1,1.60115,24,0.180193,0.33833,0.416947,0.212642,0
466768103,chair_1,1.60115,31,0.0955995,0.151126,0.386941,0.297384,0
466768205,chair_1,1.60115,27,0.104711,0.176412,0.389458,0.27353,0
466768305,chair_1,1.60115,27,0.0631645,0.076822,0.384973,0.369258,0
466768404,chair_1,1.60994,27,0.262452,0.258406,0.416584,0.462338,90
466768504,chair_1,1.60994,31,0.320445,0.307423,0.413952,0.491806,90
466768603,chair_1,1.60994,25,0.552178,0.505098,0.523378,0.631402,90
466768704,chair_1,1.60994,26,0.338966,0.327413,0.431347,0.503758,90
466768806,chair_1,1.60994,39,0.577061,0.514032,0.522646,0.640674,90
466768911,chair_1,1.60994,43,0.201875,0.19627,0.389252,0.435171,90
466769009,chair_1,1.60994,28,0.398485,0.364818,0.421658,0.531288,90
466769104,chair_1,1.60994,40,0.15184,0.156204,0.40623,0.417281,0
466769203,chair_1,1.60994,36,0.338006,0.310536,0.39788,0.488958,90
466769304,chair_1,1.60994,49,0.167113,0.166783,0.380505,0.406568,90
466769405,chair_1,1.60994,37,0.313561,0.289303,0.384261,0.470508,90
466769505,chair_1,1.60994,71,0.170067,0.167462,0.356449,0.374904,90
466769606,chair_1,1.60994,116,0.264284,0.228409,0.345561,0.410274,90
466769704,chair_1,1.60994,123,0.0911738,0.100106,0.342397,0.331168,0
466769806,chair_1,1.60994,157,0.149269,0.132322,0.328539,0.361175,90
466769904,chair_1,1.60994,165,0.0595025,0.0878498,0.336378,0.312012,0
466770006,chair_1,1.60994,165,0.120426,0.100658,0.304099,0.334971,90
466770104,chair_1,3.18074,158,0.0914856,0.347213,0.320897,0.0749926,270
466770204,chair_1,7.89312,182,0.10654,0.0972497,0.308757,0.333217,90
466770308,chair_1,7.89312,207,0.0511033,0.0842166,0.331951,0.30938,0
466770406,chair_1,7.89312,183,0.102889,0.0866352,0.29519,0.327683,90
466770510,chair_1,9.46392,225,0.0924709,0.320698,0.297036,0.0569425,270
466770605,chair_1,14.1794,241,0.109578,0.0954184,0.288145,0.310518,90
466770706,chair_1,14.1794,256,0.0693328,0.0938667,0.338502,0.303896,0
466770804,chair_1,14.1794,280,0.0789108,0.0917034,0.303712,0.306861,0
466770903,chair_1,14.1794,290,0.0555525,0.094537,0.334132,0.292902,0
466771003,chair_1,14.1794,284,0.0822803,0.0912251,0.29927,0.305741,0
466771104,chair_1,14.1794,287,0.056131,0.0884817,0.333288,0.295585,0
466771204,chair_1,14.1794,319,0.0359357,0.101839,0.335595,0.268295,0
