cycle,node,fresh,fe,warm_conf,settle_maturity,frames_converged,pts,silres,mask_conf,mask_w,state_cx,state_cy,state_cz,state_yaw,state_seat_w,state_seat_d,state_seat_h,state_back_h,obs_cx,obs_cy,obs_cz,obs_yaw,obs_seat_w,obs_seat_d,obs_seat_h,obs_back_h,acc_cx,acc_cy,acc_cz,acc_yaw,acc_seat_w,acc_seat_d,acc_seat_h,acc_back_h,raw_cx,raw_cy,raw_cz,raw_yaw,raw_seat_w,raw_seat_d,raw_seat_h,raw_back_h,std_cx,std_cy,std_cz,std_yaw,std_seat_w,std_seat_d,std_seat_h,std_back_h,gain_cx,gain_cy,gain_cz,gain_yaw,gain_seat_w,gain_seat_d,gain_seat_h,gain_back_h,ext_hw02,ext_hh02,ext_hw05,ext_hh05,ext_hw10,ext_hh10,ext_offx,ext_offy,n_top,n_leg,n_pts,ce_cx,ce_cy,ce_cz,ce_yaw,ce_seat_w,ce_seat_d,ce_seat_h,ce_back_h,ceg_cx,ceg_cy,ceg_cz,ceg_yaw,ceg_seat_w,ceg_seat_d,ceg_seat_h,ceg_back_h
1,chair_2,1,1.10027,0.0729604,0,0,1085,0,0.941895,1,-0.249766,0.886868,0,3.14159,0.45,0.45,0.441424,0.45,9573.06,4370.04,104967,360.068,2316.42,1177.14,104964,0,1,1,1,1,1,1,1,0,9573.06,4370.04,104967,360.068,2316.42,1177.14,104964,1e-09,10.2206,15.1272,3.08655,52.6996,20.7774,29.1465,3.08659,-1,0,0,1,0,0,0,1,0,0.19425,0.189242,0.188936,0.18384,0.186046,0.176239,0.157702,-0.172686,360,62,422,-1,1,0,1,1,1,0,0,-1,-1,0,-1,-1,-1,0,0
1,chair_1,1,1.10027,0.0729604,0,0,1085,0,0.941895,1,-0.249766,0.886868,0,3.14159,0.45,0.45,0.441424,0.45,9573.06,4370.04,104967,360.068,2316.42,1177.14,104964,0,1,1,1,1,1,1,1,0,9573.06,4370.04,104967,360.068,2316.42,1177.14,104964,1e-09,10.2206,15.1272,3.08655,52.6996,20.7774,29.1465,3.08659,-1,0,0,1,0,0,0,1,0,0.19425,0.189242,0.188936,0.18384,0.186046,0.176239,0.157702,-0.172686,360,62,422,-1,1,0,1,1,1,0,0,-1,-1,0,-1,-1,-1,0,0
2,chair_2,1,1.08709,0.107628,1,0,31,0,0.941895,1,-0.249766,0.886868,0,3.14159,0.45,0.44419,0.441424,0.45,31683.6,43908.7,90096.4,22955.6,2317.77,26942.3,90096.4,0,1.5848,1.26654,1.84833,1.04993,1.99,1.13084,1.84835,0,39408,47848.3,119059,23303.1,4507.39,28085.8,119059,1e-09,5.03742,4.57158,2.89813,6.55078,14.8949,5.96701,2.89813,-1,0,0,0,0,0,0.767429,0,0,0.194862,0.189147,0.188978,0.184065,0.186933,0.173953,0.15709,-0.17259,367,64,431,-2,2,-0.0212482,2,2,0.8,-0.013209,0,-1,-1,-1,-1,-1,0,-1,0
3,chair_2,1,1.07588,0.126696,0,1,43,0,0.941895,1,-0.249766,0.886868,0,3.14159,0.45,0.44419,0.435083,0.45,2375.84,13310.7,128897,447.94,545.599,3074.74,128893,0,1.71555,2.07392,2.82985,1.10218,2.20564,1.46475,2.82987,0,22226.7,35097.4,158838,7445.22,4596.51,19575,158834,1e-09,6.70752,5.3378,2.50913,11.5894,14.7498,7.14742,2.50916,-1,0,0,0.55503,0,0,0,0.555025,0,0.195811,0.191109,0.189011,0.185462,0.187331,0.173868,0.156139,-0.170627,370,73,443,-3,3,-0.0169986,3,3,0.896016,-0.0105672,0,-1,-1,0,-1,-1,-1,0,0
4,chair_2,1,1.104,0.137183,0,2,61,0,0.941895,1,-0.249766,0.886868,0,3.19703,0.45,0.44419,0.435747,0.45,35978.7,18519.1,11271.9,6535.92,11130.8,10606.1,10524.4,119.845,2.69839,3.05318,2.90893,1.24291,2.01962,2.4501,2.90184,1,50266.2,37213.5,43225.1,8361.69,15253.6,23749.2,42477.5,119.845,4.46028,5.18382,4.80985,10.9359,8.09682,6.48897,4.852,91.3463,0,0,0.152725,0.474284,0,0,0.145106,0,0.202294,0.196634,0.195859,0.187309,0.191281,0.176981,0.147316,-0.180529,371,93,464,-4,4,-0.0135989,0,3.87111,1.6889,-0.00845375,-1,-1,-1,0,1,-1,-1,0,-1
5,chair_2,1,1.10899,0.14295,0,0,73,0,0.941895,1,-0.249766,0.886868,0,3.19703,0.467847,0.44419,0.436796,0.45,112809,5809.07,10134.9,20031.9,67907.2,1055.34,9477,122.819,1.9581,3.38053,2.9764,1.79806,1.12479,2.54409,2.96311,1.99,135083,25087.3,30910,24585.8,72013.5,15957,30077.8,242.306,2.72082,6.31354,5.68788,6.37761,3.72643,7.91634,5.76604,64.2419,0,0,0.189833,0,0.571552,0,0.182608,0,0.202294,0.196641,0.195859,0.187309,0.191275,0.176993,0.147317,-0.180536,373,102,475,-5,5,-0.0108791,-0.216187,0,2.21115,-0.006763,-2,-1,-1,0,-1,1,-1,0,-1
6,chair_2,1,1.11532,0.186566,0,1,82,0,0.941895,1,-0.249766,0.886868,0,3.19703,0.468968,0.44069,0.437347,0.45,44212.7,20441.8,7006.02,4221.1,16017.8,4704.17,6246.49,895.718,2.91696,4.34673,3.01338,2.16359,1.7853,3.04681,2.99299,1.6696,75074.2,35859.4,24442.2,11329.7,41733.8,16110.8,23414.7,1136.56,3.64968,5.28078,6.39632,9.39485,4.89504,7.87847,6.53515,29.6622,0,0,0.164346,0,0.29957,0.178475,0.153251,0,0.202294,0.197494,0.195791,0.18733,0.191279,0.176199,0.147317,-0.181389,373,111,484,-6,6,-0.00870327,-1.21619,0,1.76892,-0.0054104,-2.69775,-1,-1,0,-1,0,0,0,-1
7,chair_2,1,1.11978,0.461432,0,2,93,0,0.941895,1,-0.249766,0.886868,0,3.19703,0.468968,0.44069,0.438383,0.45,13972.2,15140.4,6703.8,732.093,3499.79,2881.49,5714.93,955.87,3.197,5.23603,3.04711,2.20847,1.91422,3.33986,3.0175,2.09228,40068.2,34048.8,21875.3,6043.8,23924,14366.5,20484.2,2061.03,4.99574,5.41938,6.76118,12.8631,6.46521,8.34305,6.987,22.0271,0,0,0.174783,0,0,0,0.159584,0,0.202294,0.197993,0.195781,0.18763,0.191335,0.179199,0.147317,-0.18089,374,119,493,-7,7,-0.00696262,-2.10638,-0.316468,-1,-0.00432832,-3.65809,-1,-1,0,-1,-1,-1,0,-1
8,chair_2,1,1.10836,0.600932,1,3,96,0,0.941895,1,-0.249766,0.886868,0,3.19703,0.468968,0.44069,0.43782,0.45,11956.6,29319.1,232415,2248.21,2990.71,13632.3,230267,749.855,3.42963,6.18367,4.01664,2.39064,2.0205,4.30647,3.98733,3.07136,31973.6,47711.8,246557,6015.27,17961,24202.4,243813,2709.9,5.59248,4.57812,2.01392,12.8935,7.46165,6.42793,2.02522,19.2098,0,0,0.535053,0,0,0,0.538333,0,0.202294,0.198111,0.195781,0.189137,0.191334,0.180176,0.147317,-0.180772,373,123,496,-8,8,-0.00557009,-2.86639,-0.999875,-2,-0.00346266,-3.80907,-1,-1,0,-1,-1,-1,0,-1
1,chair_3,1,1.1033,0.0729604,0,0,1085,0,0.941895,1,-0.251363,0.88706,0,3.14159,0.45,0.45,0.447652,0.45,11916.2,5962.1,17802.1,468.908,2594.92,1572.68,17801.6,0,1,1,1,1,1,1,1,0,11916.2,5962.1,17802.1,468.908,2594.92,1572.68,17801.6,1e-09,9.16076,12.9509,7.49488,46.1802,19.6308,25.2162,7.49498,-1,0,0,1,0,0,0,1,0,0.19425,0.189242,0.188936,0.18383,0.186046,0.175623,0.156102,-0.172493,360,62,422,-1,1,0,1,1,1,0,0,-1,-1,0,-1,-1,-1,0,0
