cycle,node,npts,gated,energy,fe_baseline,fe_surprise,R,motion_var,depth_var,trunc_frac,range,clutter_frac,s,w,h,cx,cy,yaw,std_s,std_w,std_h,phi
1,door_2,5482,0,1.17564,1.17564,0,0.00286485,0,0,0,2.21633,0.0413026,0.752465,0.7,2.00678,1.18397,2.538,0,0.600021,0.0435294,0.019645,0
2,door_2,5482,0,1.14375,1.17405,0,0.00286485,0,0,0,2.21633,0.039839,0.752465,0.7,2.04466,1.18397,2.538,0,0.60004,0.0358589,0.0142336,0
3,door_2,5482,0,1.14206,1.17245,0,0.00286485,0,0,0,2.21633,0.0397545,0.752465,0.7,2.05281,1.18397,2.538,0,0.600059,0.0311962,0.0117742,0
4,door_2,5482,0,1.14176,1.17091,0,0.00286485,0,0,0,2.21633,0.0397321,0.752465,0.7,2.05673,1.18397,2.538,0,0.60008,0.0279807,0.0102948,0
5,door_2,5482,0,1.14167,1.16945,0,0.00286485,4.4527e-14,0,0,2.21633,0.0397233,0.752465,0.7,2.05891,1.18397,2.538,0,0.600101,0.0255917,0.00927742,0
6,door_2,5482,0,1.14163,1.16806,0,0.00286485,3.92934e-14,0,0,2.21633,0.0397188,0.752465,0.7,2.06026,1.18397,2.538,0,0.60012,0.023727,0.00852233,0
7,door_2,5482,0,1.14161,1.16674,0,0.00286485,8.2143e-15,0,0,2.21633,0.0397162,0.752465,0.7,2.06118,1.18397,2.538,0,0.600141,0.0222195,0.00793402,0
9,door_2,5482,0,1.1416,1.16548,0,0.00286485,4.1313e-14,0,0,2.21633,0.0397142,0.752465,0.7,2.06183,1.18397,2.538,0,0.60016,0.0209681,0.00745847,0
12,door_2,5482,0,1.1416,1.16429,0,0.00286485,1.98342e-15,0,0,2.21633,0.0397133,0.752465,0.7,2.06231,1.18397,2.538,0,0.600184,0.0199079,0.0070636,0
13,door_2,5482,0,1.14159,1.16315,0,0.00286485,3.65559e-14,0,0,2.21633,0.0397122,0.752465,0.7,2.06266,1.18397,2.538,0,0.600203,0.0189948,0.00672917,0
14,door_2,5482,0,1.14159,1.16207,0,0.00286485,0,0,0,2.21633,0.0397116,0.752465,0.7,2.06293,1.18397,2.538,0,0.600224,0.0181979,0.00644159,0
15,door_2,5482,0,1.14159,1.16105,0,0.00286485,0,0,0,2.21633,0.0397111,0.752465,0.7,2.06315,1.18397,2.538,0,0.600244,0.0174944,0.00619108,0
