cycle,n_door_slices,slice_idx,npts,conf,cx,cy,range,trunc_frac,motion_var
1,2,4,1816,1,-3.2513,7.12022,4.10191,0,2.48111e-15
1,2,5,2150,1,-4.74685,9.19619,6.19596,0,2.22269e-15
2,2,4,1816,1,-3.2513,7.12022,4.10191,0,8.67689e-19
2,2,5,2150,1,-4.74685,9.19619,6.19596,0,1.23085e-18
3,2,4,1816,1,-3.2513,7.12022,4.10191,0,1.00241e-18
3,2,5,2150,1,-4.74685,9.19619,6.19596,0,1.42195e-18
4,2,4,1816,1,-3.2513,7.12022,4.10191,0,1.58236e-18
4,2,5,2150,1,-4.74685,9.19619,6.19596,0,2.24464e-18
5,2,4,1816,1,-3.2513,7.12022,4.10191,0,6.57544e-19
5,2,5,2150,1,-4.74685,9.19619,6.19596,0,9.3275e-19
6,2,4,1816,1,-3.2513,7.12022,4.10191,0,1.13742e-18
6,2,5,2150,1,-4.74685,9.19619,6.19596,0,1.61347e-18
7,2,4,1816,1,-3.2513,7.12022,4.10191,0,8.0168e-17
7,2,5,2150,1,-4.74685,9.19619,6.19596,0,2.60866e-19
8,2,4,1816,1,-3.2513,7.12022,4.10191,0,8.0168e-17
8,2,5,2150,1,-4.74685,9.19619,6.19596,0,2.60866e-19
9,2,4,1816,1,-3.2513,7.12022,4.10191,0,6.46809e-19
9,2,5,2150,1,-4.74685,9.19619,6.19596,0,9.17522e-19
10,2,4,1816,1,-3.2513,7.12022,4.10191,0,9.82257e-19
10,2,5,2150,1,-4.74685,9.19619,6.19596,0,1.39337e-18
11,2,4,1816,1,-3.2513,7.12022,4.10191,0,2.44984e-15
11,2,5,2150,1,-4.74685,9.19619,6.19596,0,2.04786e-15
12,2,4,1816,1,-3.2513,7.12022,4.10191,0,1.16255e-18
12,2,5,2150,1,-4.74685,9.19619,6.19596,0,1.64912e-18
13,2,4,1816,1,-3.2513,7.12022,4.10191,0,7.58411e-19
13,2,5,2150,1,-4.74685,9.19619,6.19596,0,1.07583e-18
14,2,4,1816,1,-3.2513,7.12022,4.10191,0,7.40774e-19
14,2,5,2150,1,-4.74685,9.19619,6.19596,0,1.05082e-18
15,2,4,1816,1,-3.2513,7.12022,4.10191,0,1.04461e-18
15,2,5,2150,1,-4.74685,9.19619,6.19596,0,1.48181e-18
16,2,4,1816,1,-3.2513,7.12022,4.10191,0,8.05984e-17
16,2,5,2150,1,-4.74685,9.19619,6.19596,0,3.15667e-18
17,2,4,1816,1,-3.2513,7.12022,4.10191,0,1.00241e-18
17,2,5,2150,1,-4.74685,9.19619,6.19596,0,1.42195e-18
18,2,4,1816,1,-3.2513,7.12022,4.10191,0,1.00241e-18
18,2,5,2150,1,-4.74685,9.19619,6.19596,0,1.42195e-18
19,2,4,1816,1,-3.2513,7.12022,4.10191,0,1.02318e-18
19,2,5,2150,1,-4.74685,9.19619,6.19596,0,1.45142e-18
20,2,4,1816,1,-3.2513,7.12022,4.10191,0,6.91403e-19
20,2,5,2150,1,-4.74685,9.19619,6.19596,0,9.80781e-19
21,2,4,1816,1,-3.2513,7.12022,4.10191,0,9.25327e-19
21,2,5,2150,1,-4.74685,9.19619,6.19596,0,1.31261e-18
22,2,4,1816,1,-3.2513,7.12022,4.10191,0,1.11309e-18
22,2,5,2150,1,-4.74685,9.19619,6.19596,0,1.57896e-18
23,2,4,1816,1,-3.2513,7.12022,4.10191,0,9.6271e-19
23,2,5,2150,1,-4.74685,9.19619,6.19596,0,1.36564e-18
24,2,4,1816,1,-3.2513,7.12022,4.10191,0,1.02318e-18
24,2,5,2150,1,-4.74685,9.19619,6.19596,0,1.45142e-18
25,2,4,1816,1,-3.2513,7.12022,4.10191,0,1.02318e-18
