seq,event,id,x,y,note
0,BIRTH,16597604242554895,0.773402,2.63045,
1,BIRTH,16597643669012495,-0.457041,4.46873,
2,SUPPRESS,0,-4.0877,-2.04504,top 0.92m
3,SUPPRESS,0,-4.09179,-2.14718,top 1.20m
4,REMOVE,16597643669012495,-0.417089,4.61008,logodds -4.00
5,REACQUIRE,16597828738482191,-0.547296,4.44464,door_3
6,BIRTH,16597828738482191,-0.547296,4.44464,
7,REMOVE,16597828738482191,-0.454553,4.61064,logodds -4.00
8,SUPPRESS,0,-0.387555,4.50823,top 0.88m
9,REACQUIRE,16598308550082575,-0.539497,4.48065,door_3
10,BIRTH,16598308550082575,-0.539497,4.48065,
11,REMOVE,16598308550082575,-0.538988,4.6119,logodds -4.00
12,REACQUIRE,16598341265653775,-0.522851,4.4811,door_3
13,BIRTH,16598341265653775,-0.522851,4.4811,
14,REMOVE,16598341265653775,-0.535785,4.61186,logodds -4.00
15,SUPPRESS,0,-0.50041,4.48261,top 1.79m
16,SUPPRESS,0,-0.500037,4.48259,top 1.79m
17,SUPPRESS,0,-0.501236,4.48262,top 1.79m
18,SUPPRESS,0,-0.498608,4.48255,top 1.79m
19,SUPPRESS,0,-0.500206,4.4826,top 1.79m
20,SUPPRESS,0,-0.499321,4.48258,top 1.78m
21,SUPPRESS,0,-0.499986,4.48258,top 1.79m
22,REACQUIRE,16599164355870735,-0.497652,4.48254,door_3
23,BIRTH,16599164355870735,-0.497652,4.48254,
24,REMOVE,16599164355870735,-0.507807,4.61144,logodds -4.00
25,SUPPRESS,0,-0.5003,4.4826,top 1.79m
26,SUPPRESS,0,-0.5003,4.4826,top 1.79m
27,SUPPRESS,0,-0.500262,4.4826,top 1.79m
28,SUPPRESS,0,-0.49905,4.48258,top 1.79m
29,SUPPRESS,0,-0.499294,4.48259,top 1.79m
30,SUPPRESS,0,-0.500048,4.4826,top 1.79m
31,SUPPRESS,0,-0.500739,4.48261,top 1.78m
32,SUPPRESS,0,-0.501082,4.48263,top 1.79m
33,SUPPRESS,0,-0.501328,4.48263,top 1.79m
34,SUPPRESS,0,-0.497893,4.48255,top 1.78m
35,SUPPRESS,0,-0.49979,4.48259,top 1.79m
36,SUPPRESS,0,-0.499502,4.48258,top 1.79m
37,SUPPRESS,0,-0.50126,4.48261,top 1.79m
38,SUPPRESS,0,-0.501288,4.48261,top 1.78m
39,SUPPRESS,0,-0.502177,4.48265,top 1.79m
40,REACQUIRE,16599189353922575,-0.499857,4.48259,door_3
41,BIRTH,16599189353922575,-0.499857,4.48259,
42,REMOVE,16599189353922575,-0.484332,4.61109,logodds -4.00
43,SUPPRESS,0,-0.501652,4.48262,top 1.78m
44,REACQUIRE,16599268710154255,-0.453863,4.43947,door_3
45,BIRTH,16599268710154255,-0.453863,4.43947,
46,REMOVE,16599268710154255,-0.588837,4.61265,logodds -4.00
47,SUPPRESS,0,-0.408685,4.4633,top 1.22m
48,SUPPRESS,0,-0.412697,4.46277,top 1.25m
49,SUPPRESS,0,-0.421886,4.46285,top 1.31m
50,SUPPRESS,0,-0.421304,4.46285,top 1.33m
51,REACQUIRE,16606573023461391,-0.41242,4.46333,door_3
52,BIRTH,16606573023461391,-0.41242,4.46333,
