rep,success,c_approach,c_insert,c_lift,c_place,c_retreat,pick_s,episode_s,observations
1,1,0.251716,0.333333,0.203979,0.296593,0.333333,7.58977,9.80084,240
2,1,0.394334,0.5,0.338666,0.462339,0.5,5.34977,7.26105,44
3,1,0.390238,0.6,0.434876,0.562448,0.6,5.26897,7.14087,44
4,1,0.387739,0.666667,0.505536,0.621387,0.666666,5.18982,7.02077,44
5,1,0.387772,0.714286,0.562068,0.666469,0.714285,5.16952,7.42168,45
6,1,0.486075,0.75,0.605361,0.700753,0.75,4.46925,6.1812,31
7,1,0.557331,0.777778,0.641281,0.727925,0.777777,4.27009,5.88018,25
8,1,0.610586,0.8,0.671556,0.752361,0.798963,4.121,5.70134,21
9,1,0.652353,0.818182,0.6988,0.77182,0.817324,3.98992,5.58053,18
10,1,0.686365,0.833333,0.720752,0.78801,0.832611,3.87138,5.44092,18
