rep,success,c_approach,c_insert,c_lift,c_place,c_retreat,pick_s,episode_s,observations
0,1,0.233157,0.333333,0.20099,0,0.000347367,12.6817,25.641,459
5,1,0.234219,0.5,0.33521,0,0.000173714,11.5906,29.8005,300
7,1,0.290103,0.6,0.430933,0,0.333411,8.5109,26.7214,119
12,1,0.293365,0.666667,0.503699,0.316625,0.500043,7.50992,11.1406,274
17,1,0.309153,0.714286,0.562682,0.487576,0.600028,6.14883,10.1006,225
36,1,0.276519,0.75,0.606158,0.32238,0.4286,9.08931,27.3007,286
47,1,0.273925,0.777778,0.642313,0.492092,0.555573,6.449,9.18122,238
49,1,0.31996,0.8,0.671997,0.570284,0.635975,8.45051,12.1814,288
50,1,0.436277,0.818182,0.698363,0.643467,0.69203,6.16197,11.1212,46
51,1,0.408581,0.833333,0.719735,0.6733,0.725448,8.62939,21.4004,60
