rep,success,c_approach,c_insert,c_lift,c_place,c_retreat,pick_s,episode_s,observations
0,1,0.252538,0.333333,0.203248,0.32312,0.333333,7.63084,10.0617,241
1,1,0.329278,0.5,0.33795,0.475581,0.5,5.94165,7.84106,66
2,1,0.360994,0.6,0.434287,0.56095,0.6,5.48746,7.37957,61
3,1,0.467446,0.666667,0.505184,0.613167,0.665945,4.67007,6.67949,32
4,1,0.54154,0.714286,0.56162,0.662638,0.713756,4.36192,6.72029,25
5,1,0.473796,0.75,0.607516,0.700146,0.749594,4.65065,6.88102,32
6,1,0.433691,0.777778,0.643253,0.725413,0.777455,4.80916,6.46115,42
7,1,0.517736,0.8,0.675048,0.747576,0.79973,4.44992,6.08127,26
8,1,0.579794,0.818182,0.70038,0.766614,0.817958,4.17062,5.78024,21
9,1,0.627938,0.833333,0.72219,0.783863,0.833145,4.00958,5.56081,20
