rep,success,c_approach,c_insert,c_lift,c_place,c_retreat,pick_s,episode_s,observations
0,1,0.131864,0.131864,0.131864,0.131864,0.131864,12.1501,25.1219,294
1,1,0.332064,0.332064,0.332064,0.332064,0.332064,10.2702,23.5399,127
2,1,0.431516,0.431516,0.431516,0.431516,0.431516,9.56885,22.4396,51
3,1,0.5323,0.5323,0.5323,0.5323,0.5323,9.4293,22.1194,43
4,1,0.600822,0.600822,0.600822,0.600822,0.600822,9.14838,22.0397,37
5,1,0.645589,0.645589,0.645589,0.645589,0.645589,8.82146,21.7603,32
6,1,0.686462,0.686462,0.686462,0.686462,0.686462,8.80947,21.779,32
7,1,0.719559,0.719559,0.719559,0.719559,0.719559,8.66999,21.4997,29
8,1,0.748667,0.748667,0.748667,0.748667,0.748667,6.16856,8.3199,28
9,1,0.643104,0.643104,0.643104,0.643104,0.643104,8.65023,21.6007,31
