rep,success,c_approach,c_insert,c_lift,c_place,c_retreat,pick_s,episode_s,observations
0,1,0.232954,0.333333,0.200976,0,0,11.1894,24.1625,254
1,1,0.312782,0.5,0.334833,0,0,10.5282,23.4793,136
2,1,0.346931,0.6,0.431021,0,0,9.94952,22.9012,88
3,1,0.362714,0.666667,0.502518,0,0,9.64883,22.6209,87
4,1,0.370844,0.714286,0.557804,0,0,9.41091,22.3815,86
5,1,0.374347,0.75,0.601966,0.329662,0.333333,6.76974,9.02191,64
6,1,0.376076,0.777778,0.637998,0.382496,0.498232,9.0516,22.201,63
7,1,0.475712,0.8,0.668042,0.404706,0.595049,8.94931,22.1416,51
8,1,0.54793,0.818182,0.694536,0.540448,0.663235,6.38913,8.22095,42
9,1,0.476398,0.833333,0.71741,0.625499,0.711768,6.51094,8.54094,50
