rep,c_approach,latency_ms,approach_cycles,lookups,approach_wall_s,eff_rate_hz,lookup_frac,v_cruise_ms
0,0,100,57,57,5.68306,10.0298,1,0.25
1,0.139307,100,102,34,4.02459,25.3442,0.333333,0.270896
2,0.197664,100,96,32,3.79117,25.322,0.333333,0.27965
3,0.215734,100,96,32,3.7914,25.3205,0.333333,0.28236
4,0.233843,100,114,29,3.69019,30.8927,0.254386,0.285076
5,0.244301,100,112,28,3.57968,31.2877,0.25,0.286645
6,0.249471,100,112,28,3.58096,31.2765,0.25,0.287421
7,0.251164,100,112,28,3.57471,31.3312,0.25,0.287675
8,0.254645,100,112,28,3.57187,31.3562,0.25,0.288197
9,0.251221,100,112,28,3.57404,31.337,0.25,0.287683
