rep,c_approach,latency_ms,approach_cycles,lookups,approach_wall_s,eff_rate_hz,lookup_frac,v_cruise_ms
0,0,33,144,144,4.88426,29.4824,1,0.25
1,0.246025,33,175,44,3.46224,50.5453,0.251429,0.286904
2,0.242548,33,178,45,3.55424,50.0811,0.252809,0.286382
3,0.241433,33,179,45,3.55462,50.357,0.251397,0.286215
4,0.240895,33,178,45,3.55491,50.0716,0.252809,0.286134
5,0.244319,33,176,44,3.48199,50.5458,0.25,0.286648
6,0.239724,33,179,45,3.55452,50.3585,0.251397,0.285959
7,0.384479,33,159,32,3.1413,50.6159,0.201258,0.307672
8,0.4841,33,148,25,2.92133,50.6619,0.168919,0.322615
9,0.557625,33,143,21,2.82179,50.677,0.146853,0.333644
