rep,success,c_approach,c_insert,c_lift,c_place,c_retreat,pick_s,episode_s
0,1,0.255549,0.333333,0.203337,0.324664,0.333333,8.95055,11.401
1,1,0.395872,0.5,0.337831,0.478532,0.5,5.42893,7.34003
2,1,0.491129,0.6,0.434176,0.552002,0.6,4.62926,6.36035
3,1,0.560352,0.666667,0.504872,0.610341,0.666666,4.28934,6.01922
4,1,0.613514,0.714286,0.561249,0.652532,0.714263,4.18767,5.87987
5,1,0.654805,0.75,0.606988,0.686014,0.74791,4.02811,5.67985
6,1,0.688406,0.777778,0.642467,0.715719,0.776126,3.92898,5.52123
7,1,0.71591,0.8,0.672498,0.738785,0.798663,3.80902,5.64847
8,1,0.739286,0.818182,0.698129,0.758872,0.817077,3.70023,5.35932
9,1,0.758829,0.833333,0.720219,0.778896,0.831111,3.76209,5.34118
