rep,success,c_approach,c_insert,c_lift,c_place,c_retreat,pick_s,episode_s
0,1,0.249152,0.333333,0.212226,0.296917,0.333333,8.87088,11.0609
1,1,0.393937,0.5,0.344744,0.468702,0.5,5.98841,7.90062
2,1,0.49005,0.6,0.439777,0.551388,0.6,5.32932,7.20044
3,1,0.559441,0.666667,0.50927,0.608218,0.666667,5.02996,7.00167
4,1,0.611843,0.714286,0.564768,0.658701,0.714286,4.80982,6.64109
5,1,0.653109,0.75,0.60985,0.700172,0.75,4.66941,6.4803
6,1,0.686306,0.777778,0.644831,0.725999,0.777774,4.53068,6.20101
7,1,0.713689,0.8,0.674473,0.747033,0.799473,4.44799,6.0799
8,1,0.736606,0.818182,0.699642,0.770962,0.817746,4.3503,6.14076
9,1,0.756165,0.833333,0.721486,0.790111,0.832968,4.32888,6.05973
