rep,success,c_approach,c_insert,c_lift,c_place,c_retreat,pick_s,episode_s,observations
0,1,0.252522,0.333333,0.203281,0.3264,0.333333,7.58983,10.0819,240
1,1,0.327501,0.5,0.337936,0.479341,0.5,5.94944,7.83956,65
2,1,0.360973,0.6,0.43427,0.557103,0.6,5.42886,7.34081,61
3,1,0.466123,0.666667,0.504843,0.610189,0.666667,4.71067,6.70202,32
4,1,0.541558,0.714286,0.56133,0.655927,0.714286,4.39081,6.60073,25
5,1,0.474254,0.75,0.609735,0.689206,0.749642,4.62998,6.25985,32
6,1,0.547627,0.777778,0.644953,0.721255,0.777495,4.2888,6.64063,25
7,1,0.603302,0.8,0.674773,0.74926,0.799758,4.04924,5.62088,21
8,1,0.647187,0.818182,0.700101,0.768154,0.817981,3.94979,5.58198,18
9,1,0.681433,0.833333,0.72198,0.784926,0.833134,3.87009,5.43991,18
