cycle,node,pkt_fid,pkt_ts,npts,gated,energy,fe_baseline,fe_surprise,R,motion_var,depth_var,motion_dotd,trunc_frac,range,cx,cy,H,w,h,yaw,std_cx,std_cy,std_H,std_w,std_h,std_yaw,std_yaw_within,front_mode,front_conf,cue_conf,cue_bearing,wall_resp,lidar_rays,lidar_raw,lidar_bpearl,lidar_resid_m,lidar_meanz,lidar_topz,lidar_floorz,lidar_cov_ang,dyaw_points,dyaw_moment,dyaw_flip,obliquity_cos,completeness,moment_aniso,moment_r_yaw,mom_major,mom_minor,mom_phi,mom_pts,ex_L,ex_p,ex_locc,ex_lfree,ex_lfree_eff,ex_ln,ex_socc,ex_sfree,ex_sfree_eff,ex_sndet,ex_streak,ex_pdetect,ex_central,ex_verify,ex_wantsverify,omega_w,omega_yaw,tau_w,tau_yaw,roi_fill,roi_fill_h,roi_fill_v,roi_valid,det_alive,frames_since_det,nbv_standoff,nbv_tx,nbv_ty,nbv_pdetect,nbv_vfov
2,refrigerator_1,1776,1786188958662,36948,0,0.717988,0.717988,0,0.00161579,0,0,0,0.001,1.33771,-3.77713,-0.693615,1.91381,0.732826,0.417531,1.52652,0.0623152,0.0743333,0.102352,0.0645723,0.0645493,0.915129,0.0630755,0,0.906879,0.694401,-0.0442723,0.0092751,1116,1905,0,0.135577,0.454661,0.777915,0.135855,0.918383,0.381172,0,0,0.562601,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,-7.08439,-2.15198,4.97511,0.0342228,1.01956,0.19197,1.01956,1,1,0,0,0,0,0,0
3,refrigerator_1,1777,1786188958726,36948,0,0.719873,0.717997,0.000187624,0.00161579,0,0,0,0.001,1.33771,-3.80221,-0.634793,1.93299,0.752903,0.444418,1.56038,0.0589404,0.0664943,0.0757045,0.0593423,0.0580789,0.301319,0.0668212,0,0.991175,0.807377,-0.0104153,0.00623701,1115,1907,0,0.0627166,0.454936,0.777681,0.136272,0.91781,0.033857,0,0,0.520275,1,0,0,0,0,0,0,4,0.982014,713.928,138.939,407.37,1121,599,41,0,640,0,0.44153,0.565625,0,0,-7.348,-2.73466,5.46921,0.0687822,1.00402,0.191901,1.00402,1,1,0,1.74375,-1.82653,-0.780029,0.586766,1.35383
4,refrigerator_1,1778,1786188958825,36948,0,0.71908,0.718002,0.000276597,0.00161579,0,0,0,0.001,1.33771,-3.81339,-0.621443,1.9431,0.764782,0.466406,1.56701,0.0565213,0.063466,0.0639458,0.0555319,0.0546902,0.128437,0.066604,0,0.998776,0.677801,-0.00378843,0.00548141,1122,1901,0,0.053884,0.45253,0.777274,0.135239,0.934877,0.00662684,0,0,0.514645,1,0,0,0,0,0,0,4,0.982014,664.067,123.442,162.249,826,587,42,0,629,0,0.443359,0.572337,0,0,-7.62473,-3.1047,6.31632,0.0989359,0.997434,0.193343,0.997434,1,1,0,1.79187,-5.81618,-0.613816,0.588889,1.35383
5,refrigerator_1,1780,1786188958978,36860,0,1.0085,0.719455,0.0291531,0.00162232,8.132e-09,0,0.00890526,0.000921085,1.34379,-3.84138,-0.61918,1.94827,0.77248,0.498954,1.56509,0.0534901,0.0589847,0.0571252,0.0525087,0.0525233,0.0703437,0.0663833,0,0.999945,0.949615,-0.00570829,0.00871071,1134,1911,0,0.0593427,0.442949,0.776907,0.134429,0.94391,-0.00191987,0,0,0.511992,1,0,0,0,0,0,0,4,0.982014,587.048,137.756,163.862,751,571,47,0,618,0,0.442694,0.579288,0,0,-7.85853,-3.37551,7.13479,0.128849,0.960082,0.191136,0.960082,1,1,0,1.79187,-5.83845,-0.613771,0.590205,1.35383
6,refrigerator_1,1781,1786188959042,36005,0,1.02429,0.720979,0.0565689,0.00164323,4.62359e-08,0,0.0212369,0.000720901,1.36307,-3.85588,-0.637635,1.95111,0.765986,0.527743,1.55588,0.0516694,0.0564316,0.0526293,0.0501266,0.0520164,0.0685006,0.0669394,0,0.999979,0.982502,-0.014919,0.0084065,1140,1909,0,0.0658175,0.427467,0.773087,0.133585,0.959571,-0.00921071,0,0,0.503762,1,0,0,0,0,0,0,4,0.982014,423.69,111.758,121.089,545,599,29,0,628,0,0.48204,0.60828,0,0,-8.04672,-3.58878,7.8484,0.162162,0.926441,0.18725,0.926441,1,1,0,1.79187,-5.88269,-0.607528,0.591146,1.35383
7,refrigerator_1,1782,1786188959148,34687,0,0.9282,0.722015,0.0715305,0.00170504,8.21818e-08,0,0.0283329,0,1.41859,-3.8582,-0.630034,1.9537,0.771535,0.550275,1.56056,0.0506713,0.0549708,0.0496138,0.0483927,0.0522763,0.0693011,0.068266,0,0.999986,0.982262,-0.0102326,0.0098257,1149,1912,0,0.0742068,0.413311,0.767856,0.132001,0.954382,0.00468636,0,0,0.492228,1,0,0,0,0,0,0,4,0.982014,479.592,90.3951,116.175,596,620,18,0,638,0,0.515098,0.630094,0,0,-8.20518,-3.76552,8.57085,0.201258,0.88684,0.183185,0.88684,1,1,0,1.79187,-5.9114,-0.606967,0.589953,1.35383
8,refrigerator_1,1783,1786188959255,32693,0,0.800697,0.722409,0.0722063,0.00176495,5.68361e-08,0,0.0235756,0,1.47045,-3.85594,-0.641279,1.95547,0.768457,0.567549,1.55939,0.0495266,0.0536258,0.0473836,0.0470221,0.052523,0.070248,0.069379,0,0.999988,0.968606,-0.0114083,0.00727311,1145,1886,0,0.0782805,0.40385,0.764724,0.132632,0.943948,-0.00117564,0,0,0.47902,1,0,0,0,0,0,0,4,0.982014,394.332,111.223,121.351,516,612,20,0,632,0,0.537247,0.653481,0,0,-8.35049,-3.91646,9.35789,0.241743,0.87073,0.181286,0.87073,1,1,0,1.79187,-1.79129,-0.651185,0.590687,1.35383
9,refrigerator_1,1784,1786188959337,31695,0,0.743979,0.722516,0.0671319,0.00181201,3.96237e-08,0,0.0196898,0,1.50994,-3.85059,-0.637906,1.95675,0.771477,0.580893,1.56168,0.0484348,0.0524307,0.0456629,0.0458887,0.05261,0.070841,0.0700081,0,0.999988,0.96837,-0.00912066,0.00806951,1123,1861,0,0.0824701,0.385198,0.758306,0.131657,0.94479,0.00228763,0,0,0.4719,1,0,0,0,0,0,0,4,0.982014,462.216,102.859,120.824,583,614,26,0,640,0,0.557057,0.665625,0,0,-8.47681,-4.04817,10.1121,0.280799,0.838666,0.177367,0.838666,1,1,0,1.79187,-5.93146,-0.6176,0.590096,1.35383
10,refrigerator_1,1785,1786188959409,30363,0,0.506144,0.711698,0.0604187,0.00185938,9.88621e-06,0,0.311071,0,1.54069,-3.86308,-0.676778,1.95675,0.75548,0.591268,1.55529,0.0476647,0.0514813,0.0442457,0.0449112,0.0524848,0.0713965,0.0708188,0,0.999992,0.84548,-0.0155093,0.00574753,1152,1856,0,0.0941233,0.37664,0.752445,0.1323,0.878066,-0.00638866,0,0,0.461225,1,0,0,0,0,0,0,4,0.982014,568.103,141.895,181.756,750,618,22,0,640,0,0.58318,0.690625,0,0,-8.45202,-4.16483,9.44877,0.322893,0.811109,0.171335,0.811109,1,1,0,1.79187,-5.93282,-0.618914,0.590505,1.35383
11,refrigerator_1,1786,1786188959520,28280,0,0.753008,0.711904,0.0584873,0.00194867,5.07531e-06,0,0.222919,0,1.61523,-3.84731,-0.702029,1.95548,0.74074,0.598063,1.548,0.0470824,0.0511651,0.0431895,0.0444362,0.0524575,0.0728053,0.0720718,0,0.999989,0.726452,-0.0227974,0.00467636,1102,1830,0,0.105822,0.358509,0.741805,0.132075,0.917791,-0.0072881,0,0,0.451382,1,0,0,0,0,0,0,4,0.982014,511.037,106.941,249.466,761,620,20,0,640,0,0.601352,0.707812,0,0,-8.45034,-4.26964,9.23447,0.371374,0.794695,0.16721,0.794695,1,1,0,1.79187,-1.77582,-0.709153,0.587959,1.35383
