cycle,node,pts,zed_pts,R,energy,cx,cy,yaw,w,d,s_cx,s_cy,s_yaw,s_w,s_d
2,residual_9,27,0,0.0009,0.199436,-0.920977,2.3291,1.06297,0.409928,0.277152,0.0627538,0.0499586,0.278221,0.0517045,0.134116
2,residual_8,43,0,0.0009,0.0728018,-0.199966,0.310543,1.54571,0.459658,0.188384,0.0476041,0.228363,0.208802,0.446349,0.0841327
2,residual_7,6,0,0.0009,0.0148895,-2.36346,0.209772,1.2952,0.11732,0.05,0.053818,0.052442,1.40718,0.0901157,0.0925882
2,residual_6,29,0,0.0009,0.00550862,-3.84077,-0.512816,1.52849,1.46325,0.168651,0.0447987,0.0670698,0.202683,0.121151,0.0731062
2,residual_5,9,0,0.0009,0.0153906,-2.3816,-1.09529,1.54632,0.144996,0.05,0.0490845,0.0535695,1.0423,0.0912355,0.0850477
2,residual_4,53,0,0.0009,0.0604672,0.0811266,-1.94451,-1.55198,0.408936,0.406412,0.0404166,0.0346649,0.209458,0.0456241,0.0615221
2,residual_3,600,0,0.0009,0.834275,2.27928,-0.50967,1.54323,1.48433,0.22159,0.0299864,0.0305114,0.198488,0.032147,0.0301066
2,residual_2,203,0,0.0009,0.527553,2.06022,-2.00077,-0.610743,0.421522,0.271111,0.0302653,0.0302297,0.201753,0.0312898,0.0309982
2,residual_1,1755,0,0.0009,0.211672,4.69214,-0.622437,-1.56569,0.517358,0.496994,0.0299696,0.0299995,0.198458,0.0301553,0.0300328
3,residual_9,27,0,0.0009,0.094282,-0.957822,2.3588,1.27883,0.376696,0.374526,0.0610037,0.041376,0.18518,0.0363735,0.127216
3,residual_8,43,0,0.0009,0.0810077,-0.203594,0.321262,1.54305,0.47981,0.197535,0.0371855,0.212389,0.148392,0.421661,0.0506138
3,residual_7,6,0,0.0009,0.0247919,-2.36142,0.209112,1.26558,0.116783,0.05,0.0459045,0.0413921,1.29249,0.0655412,0.0671829
3,residual_6,29,0,0.0009,0.00638896,-3.83842,-0.513584,1.52642,1.4645,0.174947,0.0383254,0.0514388,0.144012,0.087044,0.0520389
3,residual_5,9,0,0.0009,0.0117005,-2.38429,-1.09497,1.52621,0.144646,0.05,0.0471683,0.0425367,0.799275,0.0647246,0.082359
3,residual_4,53,0,0.0009,0.0677258,0.0810471,-1.94609,-1.55638,0.412682,0.40614,0.0395466,0.0300037,0.148458,0.0338793,0.0612951
3,residual_3,606,0,0.0009,0.787224,2.28036,-0.5092,1.54656,1.48907,0.217232,0.028824,0.0271305,0.140996,0.02294,0.0214521
3,residual_2,203,0,0.0009,0.512681,2.0585,-2.00078,-0.545655,0.41708,0.273555,0.0290331,0.0269402,0.143299,0.022296,0.0220818
3,residual_1,1757,0,0.0009,0.200427,4.69217,-0.62149,1.55969,0.526904,0.494779,0.0288126,0.0267875,0.140979,0.0214929,0.0214003
4,residual_9,27,0,0.0009,0.0596593,-0.960486,2.36098,-0.206518,0.378419,0.371867,0.0351611,0.0291189,0.146633,0.035078,0.0474643
4,residual_8,43,0,0.0009,0.0782118,-0.203597,0.320938,1.53892,0.480371,0.197352,0.0362604,0.211699,0.121511,0.420994,0.0506505
4,residual_7,6,0,0.0009,0.01409,-2.3613,0.209151,1.29268,0.117487,0.05,0.0413,0.0359039,1.2065,0.0535338,0.0561258
4,residual_6,29,0,0.0009,0.00739865,-3.83843,-0.513445,1.52755,1.46431,0.176436,0.0350328,0.043643,0.117918,0.071484,0.0426848
4,residual_5,9,0,0.0009,0.00881175,-2.38586,-1.09471,1.54003,0.145086,0.05,0.0460222,0.0378565,0.673622,0.0542602,0.0806485
4,residual_4,53,0,0.0009,0.0629952,0.0801121,-1.94677,-1.55864,0.413758,0.408286,0.0344312,0.0273272,0.121547,0.0282689,0.0436578
4,residual_3,602,0,0.0009,0.782614,2.28123,-0.508917,1.54868,1.49111,0.215531,0.0279832,0.0251211,0.115431,0.0190015,0.0177883
4,residual_2,203,0,0.0009,0.498352,2.05717,-2.00046,-0.520409,0.415195,0.274941,0.0281431,0.0249804,0.117315,0.0184773,0.01829
4,residual_1,1756,0,0.0009,0.197052,4.6922,-0.620756,1.55424,0.530824,0.494039,0.027976,0.0248713,0.115434,0.0178238,0.0177461
5,residual_9,27,0,0.0009,0.0518929,-0.961705,2.36145,-0.167431,0.379891,0.369389,0.0319053,0.0266748,0.126257,0.0333963,0.0354292
5,residual_8,43,0,0.0009,0.0810814,-0.203572,0.320896,1.53927,0.480381,0.197361,0.0356699,0.211407,0.105529,0.420661,0.0507779
5,residual_7,6,0,0.0009,0.0157255,-2.35943,0.208163,1.34787,0.11802,0.05,0.0375127,0.0324019,1.1757,0.0463208,0.050614
5,residual_6,29,0,0.0009,0.00627007,-3.83759,-0.513141,1.52723,1.46357,0.178987,0.0329226,0.0389338,0.102415,0.0621477,0.0371499
5,residual_5,9,0,0.0009,0.0110826,-2.38771,-1.09495,1.54829,0.144416,0.05,0.0455111,0.0340857,0.593241,0.0467948,0.0799154
5,residual_4,53,0,0.0009,0.0638752,0.0810232,-1.94669,-1.56378,0.413739,0.405757,0.0320295,0.0256546,0.10545,0.0248928,0.035824
5,residual_3,607,0,0.0009,0.767274,2.28214,-0.508556,1.55002,1.49128,0.214514,0.0273676,0.0238632,0.100251,0.0168098,0.0157557
5,residual_2,203,0,0.0009,0.505584,2.05596,-2.00084,-0.505174,0.412505,0.27687,0.0274918,0.0237515,0.101899,0.0163388,0.0161854
5,residual_1,1756,0,0.0009,0.196948,4.69232,-0.620255,1.55137,0.532801,0.493423,0.0273606,0.0236676,0.100267,0.0157874,0.0157195
6,residual_9,28,0,0.0009,0.0366808,-0.963685,2.3619,-0.146567,0.382053,0.368624,0.030449,0.0252864,0.112545,0.0322519,0.0298245
6,residual_8,43,0,0.0009,0.0722555,-0.203591,0.320828,1.53849,0.480509,0.197324,0.0352901,0.21126,0.0946946,0.420448,0.0509457
6,residual_7,6,0,0.0009,0.0174625,-2.35853,0.207529,1.39939,0.118673,0.05,0.0348899,0.0301346,1.11962,0.0409853,0.0468129
6,residual_6,29,0,0.0009,0.00633601,-3.83802,-0.513071,1.52727,1.46348,0.178948,0.031454,0.035814,0.0919125,0.0557832,0.0334341
6,residual_5,9,0,0.0009,0.00871527,-2.38903,-1.09525,1.55949,0.14397,0.05,0.0452756,0.0316161,0.537685,0.041864,0.0794784
6,residual_4,53,0,0.0009,0.0613791,0.0826917,-1.9475,-1.56166,0.414985,0.402121,0.0305495,0.0245578,0.0946194,0.0226491,0.0312332
6,residual_3,603,0,0.0009,0.761914,2.28287,-0.508408,1.55082,1.49229,0.213486,0.026913,0.0230497,0.0899745,0.0154173,0.0144957
6,residual_2,203,0,0.0009,0.504123,2.05516,-2.00096,-0.496092,0.410529,0.277749,0.0270116,0.0229587,0.0914595,0.0150021,0.0148739
6,residual_1,1755,0,0.0009,0.192683,4.69235,-0.619744,1.54961,0.533947,0.49317,0.0269066,0.0228916,0.0899942,0.0145257,0.014464
7,residual_9,27,0,0.0009,0.0351255,-0.965189,2.3632,-0.129185,0.384603,0.367048,0.0295988,0.0244846,0.102214,0.030991,0.0265245
7,residual_8,43,0,0.0009,0.0747749,-0.204155,0.321457,1.53836,0.48179,0.198334,0.0321074,0.210406,0.0867724,0.418813,0.0407569
7,residual_7,6,0,0.0009,0.0121243,-2.35795,0.20739,1.42655,0.118616,0.05,0.0330909,0.0285985,1.08999,0.0374618,0.0442682
7,residual_6,29,0,0.0009,0.00965555,-3.83778,-0.512513,1.52674,1.46287,0.179312,0.0303755,0.0350034,0.0842046,0.0541477,0.030728
7,residual_5,9,0,0.0009,0.010877,-2.38356,-1.09538,1.55953,0.143473,0.05,0.0378634,0.0299389,0.500323,0.0382846,0.0580273
7,residual_4,53,0,0.0009,0.055657,0.0828502,-1.94797,-1.5607,0.415683,0.402539,0.0295338,0.0239625,0.0866294,0.0216798,0.0281662
7,residual_3,606,0,0.0009,0.747726,2.28337,-0.507705,1.55091,1.49342,0.213047,0.0265754,0.0225198,0.0824753,0.0145147,0.0136687
7,residual_2,203,0,0.0009,0.49299,2.05414,-2.00117,-0.485885,0.409571,0.278019,0.0266557,0.0224388,0.0838194,0.0141227,0.014007
7,residual_1,1756,0,0.0009,0.191944,4.69236,-0.619475,1.54832,0.534901,0.492983,0.0265687,0.0223829,0.0824923,0.013696,0.0136404
8,residual_9,27,0,0.0009,0.0309506,-0.96534,2.36429,-0.106364,0.384006,0.366639,0.0292266,0.0239976,0.0940591,0.0310417,0.0245553
8,residual_8,43,0,0.0009,0.0774189,-0.203737,0.321686,1.53598,0.48279,0.197777,0.030536,0.209651,0.0806902,0.417192,0.0365597
8,residual_7,6,0,0.0009,0.0125828,-2.35719,0.207318,1.44288,0.118461,0.05,0.0317944,0.0275307,1.07655,0.0348616,0.0425028
8,residual_6,29,0,0.0009,0.0051468,-3.83825,-0.512196,1.52663,1.4622,0.179047,0.0295833,0.0330281,0.0783241,0.0498167,0.0286928
8,residual_5,9,0,0.0009,0.00630941,-2.38467,-1.09556,1.56998,0.143157,0.05,0.0377068,0.0286667,0.465564,0.0355589,0.0579289
8,residual_4,53,0,0.0009,0.0575593,0.0824935,-1.94842,-1.56091,0.416239,0.403247,0.028803,0.0235544,0.0805132,0.0209082,0.0259699
8,residual_3,604,0,0.0009,0.752405,2.28392,-0.506657,1.55137,1.49519,0.212422,0.0263247,0.0221692,0.0767284,0.0138969,0.0131079
8,residual_2,203,0,0.0009,0.506375,2.05291,-2.00098,-0.473867,0.408999,0.277967,0.0263909,0.0220946,0.0779535,0.0135238,0.0134148
8,residual_1,1756,0,0.0009,0.19342,4.69245,-0.619352,1.54765,0.535725,0.492575,0.0263182,0.0220467,0.07674,0.013134,0.0130821
9,residual_9,27,0,0.0009,0.0226953,-0.966308,2.36545,-0.0918871,0.385761,0.366752,0.0288869,0.0236748,0.0877954,0.0303045,0.0230874
9,residual_8,43,0,0.0009,0.0731283,-0.203991,0.321862,1.53716,0.48286,0.197785,0.0303896,0.209624,0.0758554,0.41711,0.0368665
9,residual_7,6,0,0.0009,0.00761482,-2.35645,0.207264,1.44942,0.118378,0.05,0.0308256,0.0267665,1.0553,0.0328933,0.0410639
9,residual_6,29,0,0.0009,0.00779331,-3.83822,-0.512123,1.52619,1.46191,0.17949,0.0289817,0.0316013,0.0736553,0.0464501,0.0270965
9,residual_5,9,0,0.0009,0.0174441,-2.3817,-1.09555,1.56733,0.143037,0.05,0.0343707,0.0277787,0.441413,0.0334567,0.0480612
9,residual_4,53,0,0.0009,0.0653843,0.0833242,-1.94833,-1.56133,0.416584,0.401726,0.0282634,0.0232555,0.0756776,0.0202362,0.0243183
9,residual_3,609,0,0.0009,0.750596,2.2844,-0.506959,1.55166,1.4961,0.211981,0.026138,0.021934,0.0721662,0.0134533,0.0127204
9,residual_2,203,0,0.0009,0.495792,2.0517,-2.00107,-0.462151,0.408197,0.278819,0.0261931,0.0218653,0.0732995,0.0131044,0.0130025
9,residual_1,1756,0,0.0009,0.196535,4.69252,-0.619249,1.54703,0.536317,0.492418,0.0261335,0.0218229,0.072177,0.0127446,0.0126966
10,residual_9,27,0,0.0009,0.0170046,-0.96781,2.36699,-0.0836855,0.389071,0.367275,0.0285439,0.023438,0.082684,0.0290632,0.0219572
10,residual_8,43,0,0.0009,0.0747026,-0.204269,0.322012,1.5373,0.483145,0.197541,0.0293765,0.209646,0.0719173,0.417022,0.0338131
10,residual_7,6,0,0.0009,0.0156325,-2.35657,0.207303,1.46468,0.118221,0.05,0.0301016,0.0262248,1.04045,0.031352,0.0398647
10,residual_6,29,0,0.0009,0.00589946,-3.8385,-0.512077,1.52672,1.46186,0.178902,0.0285193,0.0305462,0.0698557,0.0437408,0.025818
10,residual_5,9,0,0.0009,0.0181831,-2.38358,-1.09578,-1.55981,0.142884,0.05,0.0343363,0.0270941,0.417795,0.0317527,0.0481082
10,residual_4,53,0,0.0009,0.0652631,0.0830938,-1.94857,-1.56219,0.41731,0.402314,0.0278548,0.0229388,0.0717514,0.0192361,0.0230425
10,residual_3,608,0,0.0009,0.743284,2.28487,-0.507651,1.55169,1.4966,0.211672,0.0259976,0.0217744,0.068459,0.0131251,0.0124491
10,residual_2,203,0,0.0009,0.478791,2.05077,-2.00113,-0.451989,0.40709,0.279006,0.026045,0.0217121,0.0695145,0.0128077,0.0127118
10,residual_1,1756,0,0.0009,0.194025,4.69258,-0.619028,1.54646,0.536863,0.492188,0.0259919,0.0216734,0.0684666,0.0124722,0.0124269
11,residual_9,28,0,0.0009,0.0158279,-0.969248,2.36773,-0.0753407,0.392116,0.367596,0.0282616,0.0232705,0.0785358,0.0279295,0.0210709
11,residual_8,43,0,0.0009,0.0756091,-0.204567,0.32367,1.53735,0.486423,0.198619,0.0285762,0.199135,0.0686471,0.39064,0.0299252
11,residual_7,6,0,0.0009,0.0114436,-2.35774,0.207563,1.41807,0.118362,0.05,0.0296286,0.0258212,0.982709,0.0301132,0.0373433
11,residual_6,29,0,0.0009,0.00655444,-3.83821,-0.512189,1.52712,1.46201,0.179204,0.0281595,0.0297583,0.0667046,0.0415122,0.0247729
11,residual_5,9,0,0.0009,0.00800843,-2.38476,-1.09569,-1.56501,0.142799,0.05,0.0343605,0.0266034,0.396324,0.0303226,0.0481902
11,residual_4,53,0,0.0009,0.0619921,0.0828765,-1.94906,-1.56238,0.418277,0.403109,0.0275398,0.0228243,0.0684759,0.0189021,0.0220342
11,residual_3,609,0,0.0009,0.731501,2.28525,-0.507981,1.55161,1.49702,0.211279,0.0258926,0.021666,0.065385,0.0128831,0.0122577
11,residual_2,203,0,0.0009,0.480773,2.04995,-2.0011,-0.443269,0.406304,0.279316,0.0259342,0.0216092,0.0663762,0.0125968,0.0125031
11,residual_1,1756,0,0.0009,0.191683,4.69259,-0.618897,1.54592,0.537328,0.492131,0.0258892,0.0215731,0.0653919,0.0122802,0.0122369
12,residual_9,27,0,0.0009,0.0135072,-0.970261,2.36834,-0.0679157,0.39386,0.367321,0.0281036,0.0231492,0.0750377,0.0272907,0.0203749
12,residual_8,43,0,0.0009,0.0754532,-0.204593,0.323731,1.53791,0.486434,0.198634,0.028563,0.198617,0.0658924,0.390553,0.0302836
12,residual_7,6,0,0.0009,0.00632907,-2.35843,0.207692,1.43062,0.118292,0.05,0.0292018,0.0255254,0.974095,0.0291392,0.0367297
12,residual_6,29,0,0.0009,0.0082361,-3.83839,-0.512135,1.52705,1.46189,0.179537,0.0278779,0.0291596,0.0640528,0.0396387,0.0239107
12,residual_5,9,0,0.0009,0.0139856,-2.38664,-1.09548,1.56059,0.142939,0.05,0.0344184,0.0262288,0.377505,0.0291494,0.0483069
12,residual_4,53,0,0.0009,0.0602123,0.083187,-1.94909,-1.56164,0.418532,0.402853,0.0272953,0.0227446,0.0657172,0.0186245,0.0212226
12,residual_3,602,0,0.0009,0.741416,2.28545,-0.508016,1.55179,1.49797,0.210858,0.0258136,0.0215953,0.0628008,0.0127186,0.0121219
12,residual_2,203,0,0.0009,0.488295,2.04915,-2.00121,-0.436343,0.405698,0.27985,0.025851,0.0215402,0.0637388,0.0124452,0.0123551
12,residual_1,1757,0,0.0009,0.19473,4.69259,-0.618758,1.54561,0.537497,0.492218,0.0258089,0.0215058,0.0628071,0.012144,0.0121021
13,residual_9,27,0,0.0009,0.014519,-0.971371,2.36924,-0.0628725,0.396765,0.367386,0.0279058,0.023052,0.0720114,0.0263328,0.0198063
13,residual_8,43,0,0.0009,0.0718816,-0.204617,0.323713,1.53799,0.486433,0.198631,0.0285792,0.198239,0.0635441,0.39051,0.0306486
13,residual_7,6,0,0.0009,0.00514051,-2.35794,0.207615,1.43916,0.118225,0.05,0.0288604,0.0253129,0.965799,0.0283419,0.0361939
13,residual_6,29,0,0.0009,0.00698727,-3.83846,-0.51216,1.52668,1.46194,0.180046,0.0276487,0.0295556,0.0617816,0.0393008,0.0231845
13,residual_5,9,0,0.0009,0.0122708,-2.38358,-1.09539,1.55397,0.14297,0.05,0.0323689,0.0259531,0.363934,0.0281587,0.0421754
13,residual_4,53,0,0.0009,0.0604732,0.0828248,-1.94928,-1.56124,0.418632,0.403073,0.0271054,0.0225823,0.0633872,0.0179968,0.0205648
13,residual_3,608,0,0.0009,0.730452,2.28577,-0.507943,1.5519,1.49862,0.210651,0.025754,0.0215492,0.0606024,0.0126057,0.0120252
13,residual_2,203,0,0.0009,0.486652,2.04846,-2.0017,-0.429954,0.40464,0.280886,0.0257884,0.0214939,0.061495,0.0123341,0.0122499
13,residual_1,1757,0,0.0009,0.192972,4.69267,-0.618585,1.54529,0.537976,0.492017,0.0257497,0.0214609,0.0606099,0.012047,0.0120062
14,residual_9,27,0,0.0009,0.0098917,-0.972113,2.3696,-0.0570342,0.397426,0.367606,0.0278853,0.0229931,0.0694541,0.0262376,0.0193979
14,residual_8,43,0,0.0009,0.0910584,-0.204498,0.323628,1.53774,0.486381,0.198635,0.0286172,0.197957,0.0615234,0.390492,0.0310164
14,residual_7,6,0,0.0009,0.00553542,-2.35768,0.207551,1.4488,0.118101,0.05,0.0285941,0.025187,0.957793,0.0275608,0.0357128
14,residual_6,29,0,0.0009,0.00619624,-3.83915,-0.512333,1.5267,1.46218,0.179303,0.0274733,0.0290033,0.0598432,0.0377463,0.0225826
14,residual_5,9,0,0.0009,0.0157551,-2.38529,-1.09556,1.56225,0.142983,0.05,0.0324751,0.0257187,0.350267,0.0273203,0.0423524
14,residual_4,53,0,0.0009,0.0585457,0.0823575,-1.94967,-1.5617,0.41919,0.403733,0.0269556,0.0224637,0.0613881,0.0175032,0.0200254
14,residual_3,606,0,0.0009,0.729802,2.28613,-0.508248,1.55197,1.49893,0.210128,0.0257093,0.021517,0.0587153,0.0125164,0.0119562
14,residual_2,203,0,0.0009,0.461099,2.04781,-2.00202,-0.423594,0.403988,0.281746,0.0257416,0.0214629,0.0595646,0.0122556,0.0121739
14,residual_1,1756,0,0.0009,0.195195,4.69271,-0.618482,1.5451,0.53826,0.491904,0.0257042,0.0214305,0.058723,0.0119776,0.0119378
15,residual_9,27,0,0.0009,0.0106984,-0.973026,2.36994,-0.0520509,0.398435,0.367483,0.0278301,0.0229381,0.0672465,0.0259215,0.0190103
15,residual_8,43,0,0.0009,0.07823,-0.205565,0.330186,1.53817,0.499129,0.201466,0.028102,0.195205,0.0597703,0.38539,0.0281659
15,residual_7,6,0,0.0009,0.0133374,-2.35565,0.207113,1.40682,0.118236,0.05,0.0284854,0.0250756,0.900483,0.0266414,0.0346883
15,residual_6,29,0,0.0009,0.0066563,-3.83893,-0.512151,1.52668,1.46192,0.179642,0.0273321,0.028583,0.0581645,0.0364084,0.0220692
15,residual_5,9,0,0.0009,0.00995195,-2.38643,-1.09567,-1.56853,0.142936,0.05,0.0325952,0.0255871,0.338125,0.0265971,0.0425442
15,residual_4,53,0,0.0009,0.0579721,0.0825913,-1.94986,-1.56145,0.419483,0.403308,0.0268346,0.0224694,0.0596255,0.017442,0.0195759
15,residual_3,603,0,0.0009,0.705909,2.28652,-0.508077,1.55219,1.49944,0.209705,0.0256757,0.0214962,0.0570833,0.0124554,0.0119069
15,residual_2,203,0,0.0009,0.475804,2.04746,-2.00235,-0.417998,0.402956,0.28234,0.0257063,0.021442,0.0578942,0.0121973,0.0121191
15,residual_1,1756,0,0.0009,0.19374,4.69273,-0.61836,1.54482,0.538333,0.491879,0.025671,0.0214098,0.0570914,0.0119276,0.011889
16,residual_9,27,0,0.0009,0.00824352,-0.974324,2.37086,-0.0502118,0.400457,0.367988,0.0276815,0.0229416,0.0652608,0.0251133,0.018846
16,residual_8,43,0,0.0009,0.0747085,-0.205627,0.330146,1.53814,0.499088,0.201456,0.0281651,0.19508,0.0582402,0.385017,0.0285761
16,residual_7,6,0,0.0009,0.0115704,-2.3558,0.207182,1.4209,0.118139,0.05,0.0283252,0.0250003,0.894761,0.0260809,0.0342805
16,residual_6,29,0,0.0009,0.00975136,-3.83865,-0.511895,1.52649,1.46175,0.179754,0.0272121,0.0291078,0.0566913,0.0362857,0.0216278
16,residual_5,9,0,0.0009,0.01048,-2.38434,-1.09558,-1.56912,0.142867,0.05,0.0312132,0.0254933,0.328364,0.0259577,0.0382668
16,residual_4,53,0,0.0009,0.0554084,0.0827952,-1.95001,-1.56103,0.419582,0.403392,0.0267378,0.0224749,0.0580871,0.0173915,0.0192021
16,residual_3,606,0,0.0009,0.712143,2.28676,-0.507874,1.55229,1.49987,0.209553,0.0256501,0.0214839,0.0556642,0.0124197,0.0118716
16,residual_2,203,0,0.0009,0.464345,2.04682,-2.00265,-0.412486,0.402284,0.282643,0.0256798,0.0214279,0.0564388,0.0121562,0.0120794
16,residual_1,1756,0,0.0009,0.191238,4.6927,-0.618282,1.54456,0.538499,0.491897,0.0256472,0.021396,0.0556707,0.0118918,0.0118541
17,residual_9,28,0,0.0009,0.00583818,-0.975488,2.37092,-0.0476314,0.401897,0.368206,0.0275689,0.0228915,0.0635447,0.0244938,0.0185509
17,residual_8,43,0,0.0009,0.0722331,-0.205613,0.330076,1.53794,0.499066,0.20145,0.0282376,0.194894,0.0568974,0.385024,0.0289818
17,residual_7,6,0,0.0009,0.0141164,-2.35537,0.20714,1.43201,0.118101,0.05,0.0281982,0.0249608,0.885921,0.0257175,0.0338562
17,residual_6,29,0,0.0009,0.00610642,-3.83884,-0.512005,1.52656,1.46185,0.17968,0.0271209,0.0286599,0.0554107,0.0351267,0.0212554
17,residual_5,9,0,0.0009,0.013256,-2.38597,-1.09567,-1.56664,0.142836,0.05,0.031354,0.0253742,0.318119,0.0254057,0.038497
17,residual_4,53,0,0.0009,0.0611957,0.0832663,-1.95013,-1.56048,0.419602,0.402275,0.0266613,0.022388,0.0567577,0.0170183,0.0188906
17,residual_3,603,0,0.0009,0.712473,2.28719,-0.508174,1.5526,1.50005,0.209074,0.0256312,0.0214721,0.0544214,0.0123784,0.0118463
17,residual_2,203,0,0.0009,0.468171,2.04608,-2.0028,-0.406949,0.402033,0.282858,0.0256601,0.0214184,0.0551625,0.0121284,0.0120499
17,residual_1,1755,0,0.0009,0.191602,4.69269,-0.618169,1.54435,0.538545,0.491918,0.0256282,0.0213869,0.0544276,0.0118667,0.0118291
18,residual_9,27,0,0.0009,0.0103308,-0.976025,2.3712,-0.0440661,0.401728,0.368495,0.0276804,0.0228748,0.0619181,0.024948,0.0184518
18,residual_8,43,0,0.0009,0.0818443,-0.205583,0.330095,1.53812,0.499078,0.201459,0.0283172,0.194749,0.0557136,0.385039,0.0293828
18,residual_7,6,0,0.0009,0.000923733,-2.35533,0.20716,1.43532,0.118053,0.05,0.0281001,0.0249357,0.883648,0.0253073,0.0336726
18,residual_6,29,0,0.0009,0.00878463,-3.83914,-0.511997,1.52628,1.46178,0.179896,0.0270464,0.0283169,0.0542837,0.0341129,0.020936
18,residual_5,9,0,0.0009,0.00758418,-2.38706,-1.09576,-1.55664,0.142837,0.05,0.0314937,0.0253439,0.309032,0.0249453,0.0387278
18,residual_4,53,0,0.0009,0.0575658,0.0833927,-1.95011,-1.56125,0.419678,0.402039,0.0265992,0.0223232,0.0555862,0.0167183,0.0186298
18,residual_3,607,0,0.0009,0.714265,2.28747,-0.507646,1.55283,1.50061,0.208741,0.025617,0.0214656,0.0533291,0.0123543,0.0118281
18,residual_2,203,0,0.0009,0.461116,2.04573,-2.00281,-0.403722,0.40192,0.282912,0.0256452,0.0214122,0.0540416,0.0121072,0.012029
18,residual_1,1757,0,0.0009,0.195658,4.69266,-0.618112,1.54416,0.538617,0.491994,0.0256139,0.0213805,0.0533362,0.011848,0.0118112
19,residual_9,28,0,0.0009,0.00686582,-0.976686,2.37111,-0.0409359,0.402966,0.368475,0.027597,0.022839,0.0605927,0.024481,0.0182237
19,residual_8,43,0,0.0009,0.0695388,-0.205444,0.330183,1.53874,0.499074,0.20149,0.0284018,0.194636,0.0546656,0.385062,0.0297786
19,residual_7,6,0,0.0009,0.0180858,-2.35537,0.207238,1.44331,0.117955,0.05,0.0280251,0.0248886,0.88278,0.0249199,0.0334306
19,residual_6,29,0,0.0009,0.0069333,-3.83883,-0.512044,1.52642,1.46179,0.180156,0.0269847,0.0280567,0.0532881,0.0332226,0.0206596
19,residual_5,9,0,0.0009,0.014481,-2.38861,-1.09603,-1.54719,0.142779,0.05,0.0316339,0.0252649,0.300721,0.0245335,0.0389743
19,residual_4,53,0,0.0009,0.06149,0.0830349,-1.95013,-1.56172,0.419655,0.402934,0.0265472,0.0223574,0.0545348,0.0167761,0.018411
19,residual_3,607,0,0.0009,0.728672,2.28759,-0.507302,1.55298,1.50121,0.20856,0.0256063,0.0214619,0.0523658,0.0123391,0.011815
19,residual_2,203,0,0.0009,0.470642,2.04518,-2.00307,-0.399479,0.40165,0.283269,0.0256339,0.0214078,0.0530504,0.0120927,0.0120138
