cycle,ts,sweep,specialists,explainers,clusters,instances,idx,cx,cy,w,d,zmin,zmax,npts,ox,oy
1,1783432699893,14971,0,4,9,0,0,0.151674,-1.87466,0.585065,0.528668,0.155559,0.569321,766,-0.501743,-0.850236
1,1783432699893,14971,0,4,9,0,1,2.03311,-1.71525,0.6084,0.398158,0.177307,0.578022,169,-0.501743,-0.850236
1,1783432699893,14971,0,4,9,0,2,4.76901,-0.399072,0.823789,0.623761,0.315055,1.075,70,-0.501743,-0.850236
1,1783432699893,14971,0,4,9,0,3,2.23517,-0.381884,1.55224,0.353134,0.170575,0.340676,178,-0.501743,-0.850236
1,1783432699893,14971,0,4,9,0,4,1.90273,0.902866,0.569116,0.358346,0.204015,0.541509,123,-0.501743,-0.850236
1,1783432699893,14971,0,4,9,0,5,-0.337058,0.3057,0.603298,0.516003,0.155704,0.563561,721,-0.501743,-0.850236
1,1783432699893,14971,0,4,9,0,6,-1.0286,2.23695,0.446057,0.108227,0.246056,0.542757,95,-0.501743,-0.850236
1,1783432699893,14971,0,4,9,0,7,-3.82264,0.179675,0.198885,0.0842534,0.205707,0.547472,26,-0.501743,-0.850236
1,1783432699893,14971,0,4,9,0,8,-2.92652,-0.439142,1.67297,1.41477,0.16279,0.805884,531,-0.501743,-0.850236
2,1783432700016,14969,0,4,10,0,0,0.148298,-1.8705,0.582852,0.526406,0.155728,0.561987,767,-0.501743,-0.850236
2,1783432700016,14969,0,4,10,0,1,2.03205,-1.71308,0.612908,0.401268,0.177928,0.578514,169,-0.501743,-0.850236
2,1783432700016,14969,0,4,10,0,2,4.7738,-0.396575,0.83365,0.629097,0.315471,1.075,70,-0.501743,-0.850236
2,1783432700016,14969,0,4,10,0,3,2.23665,-0.382685,1.54878,0.356881,0.172575,0.341439,177,-0.501743,-0.850236
2,1783432700016,14969,0,4,10,0,4,1.90172,0.902196,0.569903,0.345698,0.202016,0.541345,123,-0.501743,-0.850236
2,1783432700016,14969,0,4,10,0,5,-0.3428,0.302265,0.609939,0.501642,0.160946,0.570541,720,-0.501743,-0.850236
2,1783432700016,14969,0,4,10,0,6,-1.02927,2.23627,0.446519,0.104923,0.24658,0.543991,95,-0.501743,-0.850236
2,1783432700016,14969,0,4,10,0,7,-3.82115,0.185327,0.183255,0.0772622,0.206051,0.546937,26,-0.501743,-0.850236
2,1783432700016,14969,0,4,10,0,8,-2.5801,-0.409935,1.43954,0.528208,0.165389,0.800335,438,-0.501743,-0.850236
2,1783432700016,14969,0,4,10,0,9,-3.43632,-0.441954,1.48558,0.372226,0.23512,0.806322,85,-0.501743,-0.850236
3,1783432700153,14969,0,4,10,0,0,0.148539,-1.8713,0.58089,0.518526,0.158577,0.562332,764,-0.501743,-0.850236
3,1783432700153,14969,0,4,10,0,1,2.03014,-1.70947,0.614399,0.402904,0.176584,0.578267,169,-0.501743,-0.850236
3,1783432700153,14969,0,4,10,0,2,4.76714,-0.399545,0.822634,0.626689,0.317025,1.075,70,-0.501743,-0.850236
3,1783432700153,14969,0,4,10,0,3,2.2258,-0.38482,1.55155,0.352695,0.171941,0.340815,178,-0.501743,-0.850236
3,1783432700153,14969,0,4,10,0,4,1.90114,0.899859,0.570862,0.357215,0.204377,0.540628,123,-0.501743,-0.850236
3,1783432700153,14969,0,4,10,0,5,-0.338548,0.308381,0.609353,0.517807,0.159572,0.562591,720,-0.501743,-0.850236
3,1783432700153,14969,0,4,10,0,6,-1.02823,2.23581,0.446763,0.105502,0.24613,0.542526,95,-0.501743,-0.850236
3,1783432700153,14969,0,4,10,0,7,-3.81875,0.187527,0.181806,0.0837247,0.206771,0.547542,26,-0.501743,-0.850236
