i,x,y
0,1.0175,-4.55
1,1.0215,-3.836
2,0.0314999,-3.808
3,0.0695,-2.122
4,-0.0755,-2.131
5,-0.0774999,-3.814
6,-0.9535,-3.806
7,-0.9305,-4.56
8,-4.0285,-4.449
9,-4.2535,-4.167
10,-4.2515,-4.018
11,-3.8565,-4.018
12,-3.8565,-3.418
13,-4.2405,-3.418
14,-4.1385,2.462
15,-1.6785,2.474
16,-1.6665,2.535
17,-2.0825,2.541
18,-2.0765,3.398
19,-1.6305,3.379
20,-1.6175,4.628
21,0.0574999,4.603
22,-0.0425,0.394
23,0.0415001,0.384
24,0.0815001,2.538
25,4.0315,2.538
26,4.2535,2.264
27,4.0755,-3.434
28,3.7425,-3.434
29,3.7425,-4.034
30,4.0575,-4.034
31,4.0385,-4.628
