room,sigma,error
0,0.0255666,0.007197006322075849
0,0.0305302,0.013672432117220294
0,0.0248893,0.0077841670074581685
0,0.0235603,0.0148781041803047
0,0.0238295,0.018574525565946576
0,0.0236453,0.002091243649123634
1,0.0217679,0.008178979153903716
1,0.0462572,0.03427983955621712
1,0.0405907,0.03418338814395083
1,0.0302921,0.019908235105101743
1,0.0287789,0.09576908269373802
1,0.0464998,0.01014749722838082
1,0.0377045,0.11098749479108
1,0.0221906,0.11021587635182153
1,0.0235313,0.008974653196642271
1,0.0231651,0.0028956001105128705
2,0.0319887,0.012781627439414685
2,0.0318522,0.02128507693197296
2,0.0271027,0.02672420954864707
2,0.0216356,0.0481078270554804
2,0.0227661,0.05012847194958176
2,0.0227661,0.12429779885420314
3,0.0251355,0.02569461032979475
3,0.0243169,0.016257539789279456
3,0.0263559,0.013009427350963441
3,0.0280444,0.01014601399565377
3,0.023949,0.014651964407546207
3,0.0243675,0.02805943871498492
4,0.0289957,0.027388999616634293
4,0.0223608,0.0023269078194032935
4,0.0228317,0.012728444523978725
4,0.0233526,0.018900404757570568
4,0.0276044,0.02018144258074731
4,0.0370876,0.031635094768310744
5,0.0236567,0.013371705201656345
5,0.0247951,0.03256389718691552
5,0.0235975,0.03551817800788782
5,0.0263075,0.018083717123423465
5,0.0284386,0.016046688131823268
5,0.0219816,0.020775093260922105
6,0.024178,0.006601098393449408
6,0.0240089,0.007532044875065367
6,0.0254004,0.007050028368737366
6,0.0295831,0.006951172562956615
6,0.0254906,0.010446247938853332
6,0.0243714,0.00978785471898734
7,0.0250687,0.01931473271883393
7,0.0235983,0.02933388654781372
7,0.0251391,0.027850883289403838
7,0.0336581,0.043586861552536466
7,0.0250825,0.04216463234750179
7,0.0220571,0.013376150268294624
7,0.0294354,0.03139183492566189
7,0.0277266,0.02733638783745975
7,0.0276651,0.005609848482802292
7,0.0238415,0.017814390250581177
8,0.0660232,0.008757739434351862
8,0.024736,0.0007324616030890749
8,0.0235877,0.007805927235120862
8,0.023355,0.010225634454643924
8,0.0406479,0.006100860595030812
8,0.0641732,0.007104568952441859
9,0.0258831,0.015230003282993813
9,0.02346,0.003104271251034572
