# room	name	n_truth_corners	IoU	truth_xy	est_xy
# Regenerated from the 594-room run so the mosaic samples the WHOLE corpus.
0	17DRP5sb8fy_10c252c90fa24ef3b698c6f54d984c5c	6	0.9890	0.7900,-6.1000 0.7900,1.1900 -2.9400,1.1900 -2.9400,-3.0600 -0.4500,-3.0600 -0.4500,-6.1000	-2.9400,1.1900 -2.9300,-3.0700 -0.4500,-3.0700 -0.4400,-6.1000 0.8100,-6.1000 0.7900,1.2000
1	17DRP5sb8fy_51857544c192476faebf212acb1b3d90	10	0.9850	0.4500,-2.1300 0.4500,-0.4800 3.5600,-0.4800 3.5600,2.4100 0.6000,2.4100 0.6000,1.4800 0.1100,1.4800 0.1100,2.4100 -4.1700,2.4100 -4.1700,-2.1300	-4.1700,-2.1400 0.4200,-2.1400 0.4200,-0.4900 3.5600,-0.5000 3.5600,2.3100 1.8500,2.3200 1.8500,2.4000 0.6000,2.4000 0.6000,1.3700 0.1000,1.3700 0.1000,2.4000 -4.1700,2.4100
2	17DRP5sb8fy_cb6a9786e4ff47f79a11b024c36ef7c0	6	0.9760	2.8100,-3.2400 2.8100,-1.9100 6.1300,-1.9100 6.1300,0.9000 -2.1900,0.9000 -2.1900,-3.2400	-2.1900,-3.2300 2.8100,-3.2600 2.8200,-1.9400 6.1400,-1.9600 6.1500,0.8500 0.7100,0.8900 0.7100,0.8000 -1.3700,0.8100 -1.3700,0.9000 -1.5700,0.9000 -1.5700,0.7700 -2.1600,0.7800
3	1LXtFkjw3qL_36127c5e30e644799c0f1a1ecd4381ca	6	0.9870	0.7600,-2.0400 0.7600,1.3500 -0.7100,1.3500 -0.7100,3.6900 -2.4100,3.6900 -2.4100,-2.0400	-2.3900,3.7000 -2.4300,-2.0300 0.7500,-2.0500 0.7700,1.3500 -0.7000,1.3600 -0.6900,3.6900
4	1LXtFkjw3qL_4b77e304d83943999198c3cd4457512c	6	0.9860	3.0100,-0.8100 3.0100,2.0400 -0.1200,2.0400 -0.1200,0.6800 -2.2600,0.6800 -2.2600,-0.8100	-2.2600,-0.7800 3.0100,-0.8100 3.0200,2.0400 -0.1100,2.0500 -0.1100,0.7000 -2.2600,0.7100
5	1LXtFkjw3qL_60668601cee245e5bb27a12d0b022918	6	0.9760	0.3900,-5.4800 0.3900,-2.2700 1.1100,-2.2700 1.1100,2.0100 -2.2000,2.0100 -2.2000,-5.4800	-2.2200,2.0100 -2.1900,-3.1000 -2.0200,-3.1000 -2.0100,-3.4900 -2.1000,-3.4900 -2.1000,-4.6400 -2.1800,-4.6400 -2.1700,-5.4800 0.4300,-5.4700 0.4100,-2.2600 1.1200,-2.2600 1.0900,2.0300
6	1LXtFkjw3qL_74bbacaafe014759bb9a6cc694d72516	6	0.9990	2.2700,-1.1500 2.2700,2.1300 0.9200,2.1300 0.9200,4.4400 -0.7300,4.4400 -0.7300,-1.1500	-0.7300,4.4400 -0.7300,-1.1500 2.2700,-1.1500 2.2700,2.1400 0.9300,2.1400 0.9300,4.4400
7	1LXtFkjw3qL_a55a46bc13e743ca8626a97ac056b8f3	10	0.9760	2.0300,-2.3600 2.0300,-1.2000 4.6900,-1.2000 4.6900,0.6500 -0.2400,0.6500 -0.2400,5.0600 -3.4200,5.0600 -3.4200,-0.5500 -0.2400,-0.5500 -0.2400,-2.3600	-0.2500,-2.3700 2.0200,-2.3800 2.0200,-1.2300 4.6800,-1.2400 4.6900,0.6100 -0.2300,0.6400 -0.2100,5.0400 -3.3900,5.0600 -3.4000,3.8100 -3.3200,3.8100 -3.3200,2.3000 -3.4000,2.3000 -3.4200,-0.5500 -0.2400,-0.5700
8	1LXtFkjw3qL_b0299947a912497ba3e1c8f80181f408	6	0.9970	0.8300,-1.4800 0.8300,4.9500 -0.2900,4.9500 -0.2900,1.7400 -5.3300,1.7400 -5.3300,-1.4800	-5.3200,-1.4900 0.8300,-1.4800 0.8200,4.9500 -0.3000,4.9500 -0.2900,1.7400 -5.3300,1.7300
9	1LXtFkjw3qL_d5839b78130944da925af878f4e64970	6	0.9910	4.9800,-0.6600 4.9800,2.5900 1.6700,2.5900 1.6700,0.9800 -0.6800,0.9800 -0.6800,-0.6600	-0.6800,-0.6700 4.9800,-0.6600 4.9700,2.5900 1.6600,2.5800 1.6700,0.9800 -0.6900,0.9700
