wall_ms,type,valid_ts_ms,x,y,theta,innov_norm
1789391269851,0,1789391269823,-0.735313,1.81597,-0.0549992,0.107258
1789391269884,0,1789391269874,-0.729071,1.80237,-0.054446,0.0150912
1789391269966,0,1789391269921,-0.727473,1.79736,-0.0551759,0.00538152
1789391269994,0,1789391269969,-0.7274,1.79736,-0.054548,1.87265e-05
1789391270067,0,1789391270020,-0.727092,1.79724,-0.053859,0.00026647
1789391270136,0,1789391270127,-0.72714,1.79729,-0.0535889,0
1789391270178,0,1789391270171,-0.727237,1.7972,-0.0538762,0
1789391270232,0,1789391270225,-0.727394,1.79705,-0.0537314,0
1789391270279,0,1789391270273,-0.727454,1.797,-0.0534776,0
1789391270338,0,1789391270331,-0.727477,1.79702,-0.0534481,0
1789391270384,0,1789391270378,-0.727498,1.797,-0.0534466,0
1789391270433,0,1789391270426,-0.727561,1.79693,-0.0535275,0
1789391270478,0,1789391270472,-0.727606,1.79689,-0.0534397,0
1789391270536,0,1789391270530,-0.727628,1.79699,-0.0539614,0
1789391270589,0,1789391270583,-0.727646,1.79707,-0.0532585,0
1789391270651,0,1789391270643,-0.727593,1.79705,-0.0535672,0
1789391270692,0,1789391270684,-0.727548,1.79702,-0.0538726,0
1789391270742,0,1789391270735,-0.727494,1.79703,-0.0537213,0
1789391270786,0,1789391270781,-0.727451,1.79704,-0.0535754,0
1789391270844,0,1789391270836,-0.727453,1.79701,-0.0531878,0
1789391270895,0,1789391270890,-0.727507,1.79695,-0.0534537,0
1789391270953,0,1789391270947,-0.727553,1.79692,-0.0533408,0
1789391270997,0,1789391270991,-0.727599,1.79693,-0.0533944,0
1789391271048,0,1789391271041,-0.727626,1.79695,-0.0534589,0
1789391271099,0,1789391271092,-0.72763,1.79697,-0.0535306,0
1789391271157,0,1789391271149,-0.727613,1.79698,-0.0535571,0
1789391271202,0,1789391271195,-0.72752,1.79694,-0.0533808,0
1789391271254,0,1789391271246,-0.727418,1.7969,-0.0532691,0
1789391271299,0,1789391271292,-0.727517,1.79687,-0.0534808,0
1789391271357,0,1789391271350,-0.727648,1.79684,-0.0532451,0
1789391271405,0,1789391271399,-0.727766,1.79692,-0.0537691,0
1789391271455,0,1789391271447,-0.727888,1.79702,-0.0533103,0
1789391271502,0,1789391271495,-0.727912,1.79708,-0.0533383,0
1789391271558,0,1789391271550,-0.727914,1.79713,-0.0524788,0
1789391271613,0,1789391271603,-0.727949,1.79718,-0.0524453,0
1789391271668,0,1789391271658,-0.728056,1.79724,-0.0519562,0
1789391271712,0,1789391271705,-0.728103,1.79726,-0.0521183,0
1789391271762,0,1789391271755,-0.728111,1.79723,-0.0521198,0
1789391271807,0,1789391271801,-0.728117,1.79718,-0.0524781,0
1789391271868,0,1789391271861,-0.728185,1.79701,-0.0529085,0
1789391271915,0,1789391271908,-0.728233,1.79687,-0.0533623,0
1789391271960,0,1789391271953,-0.728179,1.79683,-0.0537538,0
1789391272008,0,1789391272000,-0.728124,1.79679,-0.0544021,0
1789391272062,0,1789391272056,-0.728165,1.79686,-0.0549114,0
1789391272119,0,1789391272113,-0.728256,1.79697,-0.0547167,0
1789391272172,0,1789391272164,-0.728254,1.79697,-0.0548535,0
1789391272216,0,1789391272210,-0.728229,1.79693,-0.0546158,0
1789391272272,0,1789391272262,-0.728262,1.79689,-0.0543265,0
1789391272322,0,1789391272314,-0.728382,1.79685,-0.0544011,0
1789391272375,0,1789391272368,-0.728427,1.79684,-0.0546418,0
1789391272426,0,1789391272419,-0.728339,1.79686,-0.0543336,0
1789391272494,0,1789391272473,-0.728247,1.79689,-0.053573,0
1789391272542,0,1789391272534,-0.728198,1.79684,-0.0535149,0
