# frame;ts_ms;est_x,est_y,est_th;verts;corner_sigma;edge_sigma_d;closed,publishable
0;1789210698556;0,0,0;-10,-10 10,-10 10,10 -10,10;2.66539 2.66539 2.66539 2.66539;0.5 0.5 0.5 0.5;1,0
1;1789210698602;-3.13788e-05,-7.70174e-05,0.000432424;-10,-10 10,-10 10,10 -10,10;2.66539 2.66539 2.66539 2.66539;0.5 0.5 0.5 0.5;1,0
2;1789210698648;-0.000113599,-0.000179717,0.000926921;-10,-10 10,-10 10,10 -10,10;2.66539 2.66539 2.66539 2.66539;0.5 0.5 0.5 0.5;1,0
3;1789210698703;-0.000185992,-0.000225479,0.000543907;-10,-10 10,-10 10,10 -10,10;2.66539 2.66539 2.66539 2.66539;0.5 0.5 0.5 0.5;1,0
4;1789210698755;-0.000282378,-0.000341568,0.00065195;-10,-10 10,-10 10,10 -10,10;2.66539 2.66539 2.66539 2.66539;0.5 0.5 0.5 0.5;1,0
5;1789210698806;-0.000376297,-0.000455468,0.00147423;-10,-10 10,-10 10,10 -10,10;2.66539 2.66539 2.66539 2.66539;0.5 0.5 0.5 0.5;1,0
6;1789210698852;-0.000458446,-0.000558225,0.00128794;-10,-10 10,-10 10,10 -10,10;2.66539 2.66539 2.66539 2.66539;0.5 0.5 0.5 0.5;1,0
7;1789210698906;-0.000559643,-0.00067885,0.00129277;-10,-10 10,-10 10,10 -10,10;2.66539 2.66539 2.66539 2.66539;0.5 0.5 0.5 0.5;1,0
8;1789210698958;-0.000648755,-0.00078832,0.00167099;-10,-10 10,-10 10,10 -10,10;2.66539 2.66539 2.66539 2.66539;0.5 0.5 0.5 0.5;1,0
9;1789210699012;-0.000742571,-0.000902305,0.00227008;-10,-10 10,-10 10,10 -10,10;2.66539 2.66539 2.66539 2.66539;0.5 0.5 0.5 0.5;1,0
10;1789210699056;-0.000815638,-0.000996194,0.00240681;-6.12518,-10 10,-10 10,10 -10,10 -10,3.30142 -5.31369,3.30142;1.68296 2.66539 2.66539 2.66539 2.66539 1.48113;0.5 0.5 0.5 0.5 0.5 0.00300769;1,0
11;1789210699108;-0.00090461,-0.00110578,0.00304858;-5.67739,-9.90307 9.82515,-10.1718 10.1718,9.82515 -5.3307,10.0939;1.52557 2.66539 2.66539 1.52557;0.5 0.5 0.5 0.00300769;1,0
12;1789210699159;-0.000991237,-0.00121312,0.00254392;-5.67738,-9.90307 9.82515,-10.1718 10.1718,9.82515 -5.3307,10.0939;1.52557 2.66539 2.66539 1.52557;0.5 0.5 0.5 0.00300769;1,0
13;1789210699214;-0.00108739,-0.00132941,0.00264067;-5.67738,-9.90307 9.82515,-10.1718 10.1718,9.82515 -5.3307,10.0939;1.52557 2.66539 2.66539 1.52557;0.5 0.5 0.5 0.00300769;1,0
14;1789210699264;-0.00117168,-0.00143452,0.00313892;-5.67738,-9.90307 9.82515,-10.1718 10.1718,9.82515 -5.3307,10.0939;1.52557 2.66539 2.66539 1.52557;0.5 0.5 0.5 0.00300769;1,0
