frame,nis_pre,n,over,tour_nis_pre,tour_se,tour_n,tour_over_frac,tour_nis_acc,sigma_det,sigma_pred,sigma_model,resid_mean,resid_max,ori_mean,ori_min,line_sigma_phi_deg,line_sigma_d_m,npts,resid_sig_m,lever_m,corner_angle_deg,corners_in_fov,accepted,rej_dist
0,0.0220007,10,0,0.0220007,0.316228,10,0,0.466285,0.273652,1.04553,0.04,0.740562,4.03956,0.718453,3.43099e-07,11.1857,1.26439,318.111,0.0514841,2.43243,111.44,12,8,1
1,0.514319,12,0,0.290538,0.213201,22,0,0.562119,0.240629,0.51948,0.04,0.106244,0.529048,0.722126,1.80632e-07,12.7897,1.14847,284.61,0.048574,2.62478,114.22,12,10,0
2,1.15312,11,2,0.578065,0.174078,33,0.0606061,0.511754,0.199529,0.352114,0.04,0.0322022,0.0742754,0.749884,1.80632e-07,11.6868,1.11762,276.429,0.0462505,2.67728,111.898,12,7,3
3,1.19887,11,2,0.733267,0.150756,44,0.0909091,0.477343,0.182995,0.26732,0.04,0.0301817,0.0662828,0.757697,1.80632e-07,16.6714,1.74805,272.4,0.0454449,2.6821,110.986,12,7,3
4,1.35578,11,2,0.857769,0.13484,55,0.109091,0.508641,0.17332,0.216401,0.04,0.0383333,0.100829,0.766717,1.80632e-07,13.641,1.41532,273.245,0.0455464,2.65403,110.83,12,8,2
5,1.2451,10,2,0.917358,0.124035,65,0.123077,0.506517,0.153136,0.185042,0.04,0.0352826,0.079144,0.775733,1.80632e-07,11.7301,1.20061,275.119,0.0453764,2.61609,109.906,12,8,3
6,1.29345,10,2,0.967503,0.11547,75,0.133333,0.5141,0.138397,0.162038,0.04,0.0374286,0.0917193,0.780785,1.80632e-07,10.3888,1.04459,276.534,0.0453713,2.58225,109.373,12,8,3
7,1.20428,11,2,0.997788,0.107833,86,0.139535,0.493145,0.137102,0.142914,0.04,0.028529,0.0625191,0.780865,1.80632e-07,11.4771,1.18219,274.44,0.0450824,2.595,109.21,12,7,3
8,1.14111,11,2,1.01404,0.101535,97,0.14433,0.510042,0.136549,0.128157,0.04,0.0355775,0.0813828,0.781695,1.80632e-07,13.1543,1.38472,272.842,0.0448017,2.60879,109.139,12,8,3
9,1.3294,11,2,1.04616,0.096225,108,0.148148,0.51764,0.136343,0.116381,0.04,0.0377015,0.0961907,0.785058,1.80632e-07,11.978,1.25381,273.204,0.0449058,2.60348,109.21,12,8,2
10,1.38183,11,2,1.07719,0.0916699,119,0.151261,0.542228,0.127768,0.106802,0.04,0.0487007,0.159562,0.789194,1.80632e-07,11.0366,1.14368,272.043,0.044917,2.59987,108.796,12,9,3
11,1.17647,12,2,1.08628,0.0873704,131,0.152672,0.527683,0.134099,0.0981724,0.04,0.0294659,0.0658773,0.786473,1.80632e-07,11.0088,1.14653,270.453,0.0448778,2.61542,109.106,12,7,2
12,1.12947,11,2,1.08963,0.0839181,142,0.15493,0.536176,0.133943,0.0915397,0.04,0.0356452,0.080376,0.786673,1.80632e-07,12.1943,1.28805,269.68,0.0447006,2.62323,109.062,12,8,3
13,1.38589,11,2,1.11093,0.0808452,153,0.156863,0.554208,0.127446,0.0858602,0.04,0.0487135,0.159694,0.789774,1.80632e-07,11.4473,1.2,269.037,0.0447243,2.61898,108.751,12,9,3
14,1.21118,11,2,1.11765,0.0780869,164,0.158537,0.541517,0.127336,0.0809642,0.04,0.0288572,0.065022,0.789313,1.80632e-07,11.6543,1.22895,268.484,0.0446606,2.62569,108.682,12,7,3
