# frames=16000 wall_in/wall_out are the adjacent polygon edge lengths (m)
vertex,wall_in,wall_out,in_fov,occluded,accepted,accept_rate,assoc_prob,rival_n,runnerup_chi2,lambda_min,lambda_max,resid_mean,yield,retired_now,suppressed,suppressed_frac
0,3.02201,0.714011,1648,14352,1272,0.771845,0.999925,1,5.49008,452.102,593.959,0.0822252,588.664,0,0,0
1,0.714011,0.990396,12272,3728,3808,0.3103,0.887134,602,1.79561,361.021,536.157,0.378391,5.27465,1,271,0.071166
2,0.990396,1.68643,2378,13622,1774,0.746005,0.998196,8,2.99363,590.931,660.498,0.0699223,614.308,0,0,0
5,1.683,0.876036,12891,3109,7638,0.592506,0.986394,169,0.948599,545.059,629.629,0.098199,584.784,0,0,0
6,0.876036,0.754351,14410,1590,11427,0.792991,0.998232,24,0.924389,430.028,609.029,0.0594317,517.052,0,0,0
7,0.754351,3.09999,2677,13323,2350,0.877848,1,0,0,428.786,620.66,0.110619,185.455,0,0,0
8,3.09999,0.360762,12495,3505,10498,0.840176,0.936606,1085,2.04878,537.921,833.054,0.178592,590.565,0,0,0
11,0.395,0.6,15041,959,1883,0.125191,0.617647,1236,2.3785,16.652,368.831,0.54398,0.732866,1,982,0.521508
12,0.6,0.384001,15132,868,4745,0.313574,0.986796,167,2.71314,392.716,641.298,0.0640152,62.3172,0,0,0
13,0.384001,5.88088,14172,1828,2681,0.189176,0.899239,999,4.78786,107.455,397.619,0.515532,201.381,0,1085,0.4047
14,5.88088,2.46003,13526,2474,10614,0.784711,0.999291,10,0.419795,436.081,584.635,0.0656966,354.147,0,0,0
17,0.416043,0.857021,1407,14593,1404,0.997868,1,0,0,619.439,637.187,0.0400856,622.78,0,0,0
18,0.857021,0.446405,2345,13655,1835,0.782516,0.984763,55,1.41234,508.45,581.327,0.0731575,578.215,0,0,0
19,0.446405,1.24907,12040,3960,10901,0.905399,0.999475,27,3.35062,558,604.554,0.0482576,585.257,0,0,0
20,1.24907,1.67519,11671,4329,7126,0.610573,0.999033,11,1.01077,474.06,623.078,0.0876759,444.256,0,0,0
21,1.67519,4.21019,13024,2976,11734,0.900952,0.999991,1,4.40011,534.8,617.948,0.0453273,508.896,0,0,0
24,2.15437,3.95,2416,13584,2262,0.936258,1,0,0,599.697,622.699,0.0654239,602.186,0,0,0
25,3.95,0.352647,11747,4253,10009,0.852047,0.970078,1019,2.87111,575.923,601.78,0.0626591,604.674,0,0,0
26,0.352647,5.70078,11772,4228,10419,0.885066,0.979558,898,3.2576,563.412,610.6,0.0562651,597.44,0,0,0
27,5.70078,0.333,11712,4288,6604,0.563866,0.939474,625,1.92556,248.281,576.125,0.176203,238.394,0,296,0.0448213
28,0.333,0.6,11984,4016,9384,0.783044,0.971034,632,1.70086,485.634,604.162,0.0640027,530.667,0,0,0
29,0.6,0.315,11946,4054,65,0.00544115,0.969801,3,0.890783,344.524,623.191,0.10575,230.755,0,0,0
30,0.315,0.594304,0,16000,0,0,0,0,0,0,0,0,0,0,0,0
31,0.594304,3.02201,10761,5239,8908,0.827804,1,0,0,534.115,720.818,0.0876426,548.339,0,0,0
