# frame;ts_ms;est_x,est_y,est_th;verts;corner_sigma;edge_sigma_d;closed,publishable
0;1789213050360;0,0,0;-10,-10 10,-10 10,10 -10,10;2.66539 2.66539 2.66539 2.66539;0.5 0.5 0.5 0.5;1,0
1;1789213050421;-2.90923e-05,-0.000121075,0.000226468;-10,-2.48563 3.36124,-1.66981 3.13851,2.01967 10,2.01967 10,10 3.11891,10 3.11891,2.31535 -2.85994,1.95171 -2.85994,10 -10,10 -10,2.01967 -2.86976,2.01967 -2.62885,-1.95984 -10,-1.95984;0.822419 0.0216959 0.681651 1.88477 2.66539 2.66539 0.787471 0.716496 2.66539 2.66539 1.88477 0.639625 0.852475 2.66539;0.00291148 0.00319326 0.353553 0.5 0.5 0.5 0.00260548 0.5 0.5 0.5 0.353553 0.00295021 0.5 0.5;1,0
2;1789213050472;-5.33802e-05,-0.00022231,0.000704187;-10,-2.51596 3.36793,-1.66282 3.1335,2.01967 10,2.01967 10,2.76212 -2.85994,1.94474 -2.85994,10 -10,10 -10,2.01967 -2.87278,2.01967 -2.61914,-1.95984 -10,-1.95984;0.828881 0.0216976 0.680997 1.88477 0.881151 0.715314 2.66539 2.66539 1.88477 0.640218 0.850585 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.5 0.353553 0.00295021 0.5 0.5;1,0
3;1789213050524;-4.90648e-05,-0.000204452,0.000188795;-10,-2.51168 3.36608,-1.66242 3.13189,2.01967 10,2.01967 10,2.76374 -2.85994,1.94544 -2.85994,10 -3.38122,10 -2.62141,-1.95984 -10,-1.95984;0.827973 0.0216964 0.680739 1.88477 0.881505 0.715447 2.66539 1.0189 0.851055 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
4;1789213050566;-6.90722e-05,-0.00028782,0.00059865;-10,-2.51544 3.36829,-1.66088 3.13317,2.01967 10,2.01967 10,2.76564 -2.85994,1.94295 -2.85994,10 -3.38473,10 -2.62049,-1.95984 -10,-1.95984;0.828777 0.0216979 0.680954 1.88477 0.881936 0.714996 2.66539 1.01973 0.850881 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
5;1789213050616;-9.28582e-05,-0.000387077,0.000839154;-10,-2.51978 3.36819,-1.65893 3.131,2.01967 10,2.01967 10,2.77351 -2.85994,1.94154 -2.85994,10 -3.39042,10 -2.61898,-1.95984 -10,-1.95984;0.829709 0.0216971 0.680637 1.88477 0.883675 0.714767 2.66539 1.02106 0.850592 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
6;1789213050673;-0.000119924,-0.00050024,0.00148461;-10,-2.5274 3.36899,-1.65815 3.13001,2.01967 10,2.01967 10,2.77737 -2.85994,1.94021 -2.85994,10 -3.39605,10 -2.61881,-1.95984 -10,-1.95984;0.831337 0.0216968 0.680502 1.88477 0.884533 0.714536 2.66539 1.02238 0.850584 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
7;1789213050732;-0.000145534,-0.000607456,0.00143515;-10,-2.52293 3.36779,-1.66078 3.13068,2.01967 10,2.01967 10,2.76884 -2.85994,1.94156 -2.85994,10 -3.3901,10 -2.61951,-1.95984 -10,-1.95984;0.830373 0.0216965 0.680584 1.88477 0.882645 0.714753 2.66539 1.02099 0.850702 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
8;1789213050782;-0.000167378,-0.000698781,0.000846555;-10,-2.51421 3.3678,-1.66204 3.13359,2.01967 10,2.01967 10,2.7624 -2.85994,1.94496 -2.85994,10 -3.38137,10 -2.61996,-1.95984 -10,-1.95984;0.828512 0.0216976 0.681008 1.88477 0.881212 0.715354 2.66539 1.01894 0.850756 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
9;1789213050833;-0.000189732,-0.000792083,0.000700713;-10,-2.51764 3.36835,-1.66153 3.13239,2.01967 10,2.01967 10,2.7682 -2.85994,1.94364 -2.85994,10 -3.38695,10 -2.62003,-1.95984 -10,-1.95984;0.829244 0.0216977 0.680839 1.88477 0.882494 0.715132 2.66539 1.02025 0.850794 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
10;1789213050876;-0.000208758,-0.000871488,0.000814169;-10,-2.5206 3.36744,-1.66065 3.13093,2.01967 10,2.01967 10,2.76768 -2.85994,1.94223 -2.85994,10 -3.38824,10 -2.61884,-1.95984 -10,-1.95984;0.829877 0.0216964 0.680615 1.88477 0.882387 0.714871 2.66539 1.02055 0.850553 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
11;1789213050931;-0.000233026,-0.000972728,0.000497987;-10,-2.51032 3.36783,-1.66358 3.13443,2.01967 10,2.01967 10,2.75709 -2.85994,1.94409 -2.85994,10 -3.37884,10 -2.62191,-1.95984 -10,-1.95984;0.827678 0.0216983 0.681131 1.88477 0.880048 0.715175 2.66539 1.01834 0.851148 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
12;1789213050983;-0.000255871,-0.00106801,0.000729227;-10,-2.51505 3.36623,-1.66181 3.13123,2.01967 10,2.01967 10,2.76586 -2.85994,1.94424 -2.85994,10 -3.38433,10 -2.62094,-1.95984 -10,-1.95984;0.828691 0.0216961 0.680645 1.88477 0.881977 0.715234 2.66539 1.01963 0.850972 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
13;1789213051031;-0.000277271,-0.00115734,0.000870334;-10,-2.5164 3.36794,-1.66155 3.13264,2.01967 10,2.01967 10,2.76256 -2.85994,1.94252 -2.85994,10 -3.38476,10 -2.62045,-1.95984 -10,-1.95984;0.828979 0.0216975 0.680871 1.88477 0.881258 0.714907 2.66539 1.01973 0.850873 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
14;1789213051081;-0.000299627,-0.00125064,0.000655661;-10,-2.51833 3.36695,-1.66337 3.13209,2.01967 10,2.01967 10,2.7619 -2.85994,1.94376 -2.85994,10 -3.38482,10 -2.62095,-1.95984 -10,-1.95984;0.829382 0.0216965 0.680777 1.88477 0.881108 0.715131 2.66539 1.01975 0.850976 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
15;1789213051140;-0.000325836,-0.00135982,-6.1785e-05;-10,-2.51283 3.36668,-1.66429 3.13273,2.01967 10,2.01967 10,2.75952 -2.85994,1.9431 -2.85994,10 -3.38108,10 -2.62156,-1.95984 -10,-1.95984;0.828209 0.021697 0.680868 1.88477 0.880587 0.715004 2.66539 1.01887 0.851085 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
16;1789213051186;-0.000346357,-0.00144516,-1.04524e-05;-10,-2.51194 3.3686,-1.66437 3.13502,2.01967 10,2.01967 10,2.76024 -2.85994,1.94454 -2.85994,10 -3.37975,10 -2.62167,-1.95984 -10,-1.95984;0.828019 0.0216988 0.681226 1.88477 0.880739 0.715269 2.66539 1.01855 0.851102 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
17;1789213051237;-0.00036922,-0.00154044,0.000845096;-10,-2.52326 3.36846,-1.66232 3.13129,2.01967 10,2.01967 10,2.76825 -2.85994,1.9423 -2.85994,10 -3.38829,10 -2.61864,-1.95984 -10,-1.95984;0.830438 0.0216971 0.680679 1.88477 0.882512 0.714887 2.66539 1.02057 0.850513 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
18;1789213051281;-0.000388702,-0.00162184,0.00117278;-10,-2.51633 3.36722,-1.66197 3.13218,2.01967 10,2.01967 10,2.76206 -2.85994,1.94224 -2.85994,10 -3.38386,10 -2.62026,-1.95984 -10,-1.95984;0.828963 0.0216969 0.680795 1.88477 0.881149 0.714854 2.66539 1.01952 0.850828 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
