# frame;ts_ms;est_x,est_y,est_th;verts;corner_sigma;edge_sigma_d;closed,publishable
0;1789213391747;0,0,0;-2.61987,-2.05508 3.36294,-1.69106 3.12029,2.31668 -2.86281,1.95341;0.874588 0.987997 0.988207 0.874441;0.5 0.5 0.5 0.5;1,0
1;1789213391797;6.05829e-05,-7.24528e-05,0.000379581;-2.61493,-2.06034 3.36693,-1.68346 3.11528,2.32191 -2.86733,1.94693;0.874472 0.988083 0.988087 0.874605;0.5 0.5 0.5 0.5;1,0
2;1789213391847;0.00012118,-0.000144975,0.00010102;-2.61555,-2.06098 3.36755,-1.68439 3.11585,2.3217 -2.86762,1.94767;0.874588 0.988236 0.988133 0.874734;0.5 0.5 0.5 0.5;1,0
3;1789213391906;0.000131996,-0.000157997,-0.000841959;-2.61589,-2.05989 3.3661,-1.68516 3.11547,2.32091 -2.86685,1.94782;0.874528 0.988026 0.987966 0.874634;0.5 0.5 0.5 0.5;1,0
4;1789213391959;0.000196411,-0.000234762,-0.00122986;-2.61568,-2.06047 3.36683,-1.68534 3.11586,2.32156 -2.86697,1.94794;0.874515 0.988162 0.988104 0.874619;0.5 0.5 0.5 0.5;1,0
5;1789213392012;0.000260289,-0.000311673,-0.000693758;-2.61505,-2.06109 3.3666,-1.68487 3.11526,2.32088 -2.86667,1.9474;0.874464 0.988035 0.987951 0.874569;0.5 0.5 0.5 0.5;1,0
6;1789213392054;0.000311107,-0.000371841,5.92929e-05;-2.6149,-2.06164 3.36736,-1.68377 3.11469,2.32299 -2.86789,1.94593;0.87455 0.988108 0.988135 0.87458;0.5 0.5 0.5 0.5;1,0
7;1789213392105;0.000369662,-0.000441903,0.000155004;-2.61464,-2.06153 3.36702,-1.68414 3.1148,2.32301 -2.86729,1.94652;0.874463 0.988058 0.988119 0.874485;0.5 0.5 0.5 0.5;1,0
8;1789213392155;0.000426337,-0.000510263,0.000434715;-2.61496,-2.0619 3.36748,-1.6841 3.11497,2.32306 -2.86816,1.94662;0.87456 0.988136 0.988147 0.874679;0.5 0.5 0.5 0.5;1,0
9;1789213392212;0.000490956,-0.000586973,0.000474333;-2.61469,-2.06148 3.36737,-1.68438 3.11453,2.32306 -2.86777,1.94595;0.874451 0.988154 0.988106 0.874549;0.5 0.5 0.5 0.5;1,0
10;1789213392264;0.000549105,-0.000655937,0.000469088;-2.61466,-2.06157 3.36767,-1.68376 3.11519,2.32292 -2.86756,1.94633;0.874493 0.988182 0.988208 0.874541;0.5 0.5 0.5 0.5;1,0
11;1789213392312;0.000602661,-0.000721737,0.000267899;-2.61488,-2.06024 3.36713,-1.68359 3.11509,2.32169 -2.86732,1.94684;0.874445 0.988145 0.988032 0.874614;0.5 0.5 0.5 0.5;1,0
12;1789213392361;0.000658929,-0.000788816,-0.000285589;-2.61498,-2.06057 3.36734,-1.68395 3.11546,2.32265 -2.86749,1.94664;0.874466 0.988189 0.988218 0.874567;0.5 0.5 0.5 0.5;1,0
13;1789213392410;0.000714339,-0.000855871,-2.86851e-05;-2.61521,-2.06123 3.36703,-1.68421 3.11526,2.3226 -2.86717,1.9466;0.874553 0.988088 0.988174 0.874498;0.5 0.5 0.5 0.5;1,0
14;1789213392461;0.00077295,-0.000924406,-0.000356902;-2.61469,-2.06117 3.36731,-1.68409 3.11556,2.32185 -2.86717,1.94614;0.874445 0.988148 0.988206 0.874527;0.5 0.5 0.5 0.5;1,0
15;1789213392521;0.000839335,-0.00100396,-0.00137412;-2.61565,-2.06081 3.36649,-1.68585 3.11648,2.32033 -2.86659,1.94831;0.874503 0.988089 0.988096 0.874655;0.5 0.5 0.5 0.5;1,0
16;1789213392564;0.000888119,-0.00106116,-0.00144492;-2.61587,-2.06033 3.36681,-1.6862 3.11691,2.32093 -2.8664,1.94852;0.874485 0.988217 0.988232 0.874583;0.5 0.5 0.5 0.5;1,0
17;1789213392614;0.000943949,-0.00113077,-0.00126025;-2.61514,-2.06128 3.36699,-1.68564 3.11647,2.32067 -2.86665,1.94784;0.874446 0.988157 0.988164 0.874612;0.5 0.5 0.5 0.5;1,0
18;1789213392661;0.000996628,-0.00119224,-0.00126114;-2.61586,-2.0601 3.36671,-1.68601 3.11699,2.31999 -2.86586,1.94848;0.874477 0.988201 0.988168 0.874533;0.5 0.5 0.5 0.5;1,0
19;1789213392721;0.0010638,-0.00127437,-0.00164352;-2.61584,-2.06009 3.36649,-1.68606 3.11652,2.32085 -2.86627,1.94814;0.874469 0.988152 0.988169 0.874534;0.5 0.5 0.5 0.5;1,0
20;1789213392773;0.00112466,-0.00134633,-0.00231385;-2.61609,-2.06011 3.36646,-1.68712 3.11731,2.32016 -2.86553,1.94863;0.874454 0.988206 0.988243 0.87446;0.5 0.5 0.5 0.5;1,0
21;1789213392825;0.00118162,-0.00141513,-0.00264742;-2.61648,-2.05996 3.36644,-1.6875 3.1175,2.31933 -2.86576,1.94865;0.874497 0.988236 0.988206 0.874575;0.5 0.5 0.5 0.5;1,0
22;1789213392869;0.00123177,-0.00147212,-0.00274013;-2.61644,-2.059 3.36603,-1.68681 3.11695,2.31959 -2.86567,1.94872;0.874459 0.98817 0.988104 0.874537;0.5 0.5 0.5 0.5;1,0
23;1789213392923;0.00129489,-0.00154967,-0.00260367;-2.61625,-2.05865 3.36568,-1.68778 3.11762,2.3189 -2.86474,1.94867;0.874326 0.988168 0.988193 0.874386;0.5 0.5 0.5 0.5;1,0
24;1789213392969;0.00134387,-0.00160878,-0.00214132;-2.61586,-2.0601 3.36594,-1.68805 3.11701,2.3192 -2.86518,1.94858;0.874342 0.988139 0.988094 0.87445;0.5 0.5 0.5 0.5;1,0
25;1789213393022;0.00140493,-0.00167839,-0.00124271;-2.61533,-2.05984 3.36738,-1.6847 3.11637,2.32118 -2.86657,1.94717;0.87443 0.988296 0.988242 0.874516;0.5 0.5 0.5 0.5;1,0
26;1789213393071;0.00146025,-0.00175368,-0.00102925;-2.61513,-2.06023 3.36723,-1.6852 3.11676,2.32059 -2.86614,1.94755;0.874388 0.988261 0.988245 0.87449;0.5 0.5 0.5 0.5;1,0
27;1789213393125;0.00151982,-0.00182503,-0.00123134;-2.61482,-2.06018 3.36705,-1.68471 3.11632,2.32104 -2.86646,1.94728;0.874351 0.988195 0.98821 0.874508;0.5 0.5 0.5 0.5;1,0
28;1789213393167;0.00156944,-0.00188473,-0.00105261;-2.61492,-2.06128 3.36738,-1.68557 3.11629,2.32102 -2.8665,1.94726;0.874404 0.988241 0.988204 0.874517;0.5 0.5 0.5 0.5;1,0
29;1789213393222;0.00163183,-0.00195553,-0.000940064;-2.61532,-2.06007 3.36725,-1.68563 3.11692,2.3206 -2.86591,1.94757;0.874384 0.988302 0.988281 0.874442;0.5 0.5 0.5 0.5;1,0
30;1789213393277;0.00169283,-0.00203295,-0.000171891;-2.61524,-2.06118 3.3673,-1.68547 3.11636,2.3207 -2.8664,1.94719;0.874468 0.988225 0.988195 0.874514;0.5 0.5 0.5 0.5;1,0
31;1789213393333;0.00175792,-0.00210481,4.15483e-05;-2.61442,-2.06204 3.3676,-1.68456 3.1158,2.32136 -2.86715,1.94654;0.874426 0.988178 0.988183 0.874585;0.5 0.5 0.5 0.5;1,0
